n = 37
taille = 253
Mat = [0 1 0.876430205949657;
0 2 0.876640419947507;
0 3 0.830232558139535;
0 4 0.895140664961637;
0 5 0.72972972972973;
0 6 0.855745721271394;
0 20 0.740740740740741;
0 25 0.82089552238806;
0 26 0.75;
0 27 0.754022988505747;
0 32 0.811083123425693;
0 33 0.893081761006289;
0 34 0.8125;
1 2 0.979643765903308;
1 3 0.904761904761905;
1 4 0.957605985037406;
1 5 0.956140350877193;
1 6 0.956730769230769;
1 10 0.638888888888889;
1 20 0.865979381443299;
1 23 0.629807692307692;
1 25 0.894865525672372;
1 26 0.925619834710744;
1 27 0.84304932735426;
1 30 0.643564356435644;
1 32 0.807881773399015;
1 33 0.950920245398773;
1 34 0.769491525423729;
2 3 0.930232558139535;
2 4 0.956989247311828;
2 5 0.920454545454545;
2 6 0.947513812154696;
2 10 0.648293963254593;
2 11 0.650969529085873;
2 14 0.653061224489796;
2 15 0.636645962732919;
2 16 0.63265306122449;
2 20 0.908450704225352;
2 23 0.647540983606557;
2 25 0.895480225988701;
2 26 0.931578947368421;
2 27 0.853846153846154;
2 30 0.683760683760684;
2 32 0.809116809116809;
2 33 0.963576158940397;
2 34 0.761029411764706;
3 4 0.921518987341772;
3 5 0.842592592592593;
3 6 0.9;
3 10 0.636150234741784;
3 11 0.674074074074074;
3 14 0.650793650793651;
3 16 0.64172335600907;
3 20 0.910994764397906;
3 24 0.641221374045801;
3 25 0.88833746898263;
3 26 0.848101265822785;
3 27 0.801822323462415;
3 28 0.652173913043478;
3 30 0.654911838790932;
3 32 0.800498753117207;
3 33 0.944615384615385;
3 34 0.735593220338983;
4 5 0.852272727272727;
4 6 0.932432432432432;
4 10 0.639896373056995;
4 11 0.645945945945946;
4 14 0.658354114713217;
4 16 0.638403990024938;
4 20 0.842465753424658;
4 23 0.665768194070081;
4 25 0.901369863013699;
4 26 0.882051282051282;
4 27 0.8325;
4 30 0.663865546218487;
4 32 0.850828729281768;
4 33 0.980392156862745;
4 34 0.77007299270073;
5 6 0.877358490566038;
5 20 0.938775510204082;
5 25 0.885714285714286;
5 26 0.920353982300885;
5 32 0.727272727272727;
6 10 0.645161290322581;
6 11 0.636363636363636;
6 14 0.639423076923077;
6 16 0.629807692307692;
6 20 0.852760736196319;
6 25 0.87960687960688;
6 26 0.919431279620853;
6 27 0.826506024096386;
6 30 0.658602150537634;
6 32 0.795511221945137;
6 33 0.950980392156863;
6 34 0.768382352941177;
7 9 0.811387900355872;
7 21 0.811728395061728;
8 9 0.774691358024691;
8 21 0.682432432432432;
8 22 0.657980456026059;
8 35 1;
8 36 0.972222222222222;
9 21 0.952861952861953;
9 35 1;
9 36 0.978494623655914;
10 11 0.849246231155779;
10 12 0.84051724137931;
10 13 0.886046511627907;
10 14 0.868055555555556;
10 15 0.890756302521008;
10 16 0.877598152424942;
10 17 0.71566265060241;
10 18 0.877068557919622;
10 19 0.774025974025974;
10 23 0.851116625310174;
10 24 0.954198473282443;
10 30 0.835897435897436;
10 31 0.670103092783505;
10 33 0.64968152866242;
11 12 0.935483870967742;
11 13 0.882352941176471;
11 14 0.912408759124088;
11 15 0.906705539358601;
11 16 0.91747572815534;
11 17 0.79493670886076;
11 18 0.891089108910891;
11 19 0.822888283378747;
11 23 0.845758354755784;
11 24 0.865546218487395;
11 25 0.630606860158311;
11 28 0.714285714285714;
11 30 0.905405405405405;
11 31 0.748648648648649;
11 33 0.696078431372549;
11 35 0.657142857142857;
12 13 0.957627118644068;
12 14 0.95;
12 15 0.962732919254658;
12 16 0.933333333333333;
12 17 0.755555555555556;
12 18 0.982758620689655;
12 19 0.766839378238342;
12 23 0.859154929577465;
12 24 0.936;
12 30 0.923857868020305;
12 31 0.710280373831776;
12 33 0.688;
12 35 0.638888888888889;
13 14 0.932584269662921;
13 15 0.940379403794038;
13 16 0.919101123595506;
13 17 0.75;
13 18 0.954128440366973;
13 19 0.834586466165414;
13 23 0.84578313253012;
13 24 0.925925925925926;
13 30 0.868159203980099;
13 31 0.722084367245658;
13 33 0.634969325153374;
13 35 0.643835616438356;
14 15 0.946091644204852;
14 16 0.946428571428571;
14 17 0.793503480278422;
14 18 0.940639269406393;
14 19 0.839598997493734;
14 23 0.860911270983213;
14 24 0.941605839416058;
14 25 0.639024390243902;
14 30 0.913151364764268;
14 31 0.752475247524752;
14 33 0.676923076923077;
14 35 0.648648648648649;
15 16 0.967654986522911;
15 17 0.774647887323944;
15 18 0.934065934065934;
15 19 0.874233128834356;
15 23 0.866666666666667;
15 24 0.94;
15 28 0.636363636363636;
15 30 0.89945652173913;
15 31 0.736994219653179;
15 35 0.91304347826087;
15 36 0.636363636363636;
16 17 0.798143851508121;
16 18 0.93621867881549;
16 19 0.87;
16 23 0.865384615384615;
16 24 0.941605839416058;
16 25 0.629268292682927;
16 30 0.90818858560794;
16 31 0.732673267326733;
16 33 0.652307692307692;
17 18 0.755924170616114;
17 19 0.771573604060914;
17 23 0.7575;
17 24 0.696296296296296;
17 28 0.76;
17 30 0.772020725388601;
17 31 0.853470437017995;
18 19 0.837150127226463;
18 23 0.848039215686274;
18 24 0.938931297709924;
18 30 0.865482233502538;
18 31 0.728643216080402;
18 35 0.638888888888889;
19 23 0.761517615176152;
19 24 0.675213675213675;
19 30 0.77247191011236;
19 31 0.742382271468144;
20 25 0.901234567901235;
20 26 0.850267379679144;
20 27 0.699481865284974;
20 32 0.78125;
20 33 0.96551724137931;
20 34 0.728813559322034;
20 35 0.75;
22 35 0.823529411764706;
22 36 0.821428571428571;
23 24 0.859375;
23 28 0.727272727272727;
23 30 0.836898395721925;
23 31 0.684491978609626;
23 33 0.641693811074919;
24 30 0.902985074626866;
24 33 1;
24 34 0.875;
24 35 1;
24 36 1;
25 26 0.819047619047619;
25 27 0.772616136919315;
25 30 0.653005464480874;
25 32 0.828282828282828;
25 33 0.943333333333333;
25 34 0.777358490566038;
26 27 0.797520661157025;
26 28 0.76;
26 32 0.758620689655172;
26 33 0.900826446280992;
26 34 0.741935483870968;
