n = 104
taille = 2562
Mat = [0 1 0.64797507788162;
0 71 0.693548387096774;
0 72 0.755747126436782;
0 73 0.743016759776536;
0 84 0.768996960486322;
0 100 0.712328767123288;
0 102 -0.19672131147541;
1 2 -0.176211453744493;
1 25 -0.244147157190635;
1 27 -0.164502164502165;
1 28 -0.235565819861432;
1 32 -0.187214611872146;
1 33 -0.19672131147541;
1 34 -0.208053691275168;
1 35 -0.188340807174888;
1 36 -0.162729658792651;
1 37 -0.178879310344828;
1 38 -0.16632860040568;
1 39 -0.190376569037657;
1 41 -0.203862660944206;
1 42 -0.183127572016461;
1 43 -0.187628865979381;
1 44 -0.162886597938144;
1 45 -0.182608695652174;
1 46 -0.187372708757637;
1 47 -0.217294900221729;
1 48 -0.190775681341719;
1 49 -0.287081339712919;
1 50 -0.172222222222222;
1 51 -0.17752808988764;
1 52 -0.185336048879837;
1 53 -0.194323144104804;
1 54 -0.186147186147186;
1 55 -0.198294243070362;
1 58 -0.213068181818182;
1 59 -0.184100418410042;
1 60 -0.193814432989691;
1 61 -0.212328767123288;
1 62 -0.188841201716738;
1 63 -0.168803418803419;
1 64 -0.205394190871369;
1 65 -0.180084745762712;
1 66 -0.1792656587473;
1 67 -0.165271966527197;
1 68 -0.164502164502165;
1 70 -0.184090909090909;
1 71 0.70253164556962;
1 72 0.665254237288136;
1 73 0.686192468619247;
1 74 -0.187755102040816;
1 75 -0.197396963123644;
1 83 0.702586206896552;
1 84 0.72234762979684;
1 85 0.695331695331695;
1 96 -0.216748768472906;
1 97 -0.194860813704497;
1 100 0.753731343283582;
1 102 -0.338582677165354;
1 103 -0.430769230769231;
2 25 0.75975975975976;
2 26 0.668903803131991;
2 27 0.807377049180328;
2 28 0.741127348643006;
2 29 0.745182012847966;
2 30 0.715210355987055;
2 31 0.737668161434978;
2 32 0.758771929824561;
2 33 0.736328125;
2 34 0.902286902286902;
2 35 0.897916666666667;
2 36 0.919902912621359;
2 37 0.897959183673469;
2 38 0.905038759689923;
2 39 0.901803607214429;
2 40 0.92836676217765;
2 41 0.934653465346535;
2 42 0.904761904761905;
2 43 0.891089108910891;
2 44 0.87819253438114;
2 45 0.896049896049896;
2 46 0.924271844660194;
2 47 0.940552016985138;
2 48 0.932135728542914;
2 49 0.900943396226415;
2 50 0.920595533498759;
2 51 0.908713692946058;
2 52 0.901162790697674;
2 53 0.916155419222904;
2 54 0.896907216494845;
2 55 0.921810699588477;
2 56 0.855263157894737;
2 57 0.920987654320988;
2 58 0.933161953727506;
2 59 0.908366533864542;
2 60 0.921414538310413;
2 61 0.918454935622318;
2 62 0.942973523421589;
2 63 0.873015873015873;
2 64 0.895049504950495;
2 65 0.910931174089069;
2 66 0.878099173553719;
2 67 0.907630522088353;
2 68 0.773388773388773;
2 69 0.746588693957115;
2 70 0.737556561085973;
2 74 0.938976377952756;
2 75 0.946502057613169;
2 76 0.906178489702517;
2 77 0.919354838709677;
2 83 -0.216386554621849;
2 85 -0.213963963963964;
2 89 0.879759519038076;
2 96 0.918918918918919;
2 97 0.916334661354582;
2 99 0.942982456140351;
2 100 -0.232;
2 102 0.973684210526316;
2 103 0.966666666666667;
3 4 0.967010309278351;
3 5 0.968190854870775;
3 6 0.953629032258065;
3 7 0.972850678733032;
3 8 0.929313929313929;
3 9 0.960662525879917;
3 10 0.949290060851927;
3 11 0.969924812030075;
3 12 0.956;
3 13 0.957115009746589;
3 14 0.93006993006993;
3 15 0.934673366834171;
3 16 0.958498023715415;
3 17 0.970119521912351;
3 18 0.778787878787879;
3 19 0.738609112709832;
3 20 0.776842105263158;
3 21 0.762278978388998;
