n = 54
taille = 646
Mat = [0 1 0.781002638522427;
0 2 0.836405529953917;
0 14 0.882352941176471;
0 39 0.846330275229358;
0 40 0.827188940092166;
0 41 0.675675675675676;
0 44 0.832432432432432;
1 2 0.846938775510204;
1 8 0.644;
1 14 0.894736842105263;
1 39 0.865482233502538;
1 40 0.877551020408163;
1 41 0.659509202453988;
1 44 0.842592592592593;
2 8 0.712328767123288;
2 13 0.693693693693694;
2 14 0.894736842105263;
2 15 0.645320197044335;
2 21 0.67012987012987;
2 37 0.664179104477612;
2 38 0.697604790419162;
2 39 0.933333333333333;
2 40 0.857142857142857;
2 41 0.706036745406824;
2 44 0.91578947368421;
2 47 0.639618138424821;
2 50 0.643192488262911;
3 4 0.768194070080862;
3 6 0.802666666666667;
3 14 0.666666666666667;
3 23 0.735694822888283;
3 25 0.728900255754476;
3 26 0.767313019390582;
3 27 0.779187817258883;
3 42 0.833333333333333;
3 43 0.795031055900621;
3 45 0.652542372881356;
3 48 0.8125;
3 49 0.666666666666667;
4 6 0.85752688172043;
4 14 0.684210526315789;
4 23 0.844262295081967;
4 24 0.795081967213115;
4 25 0.895408163265306;
4 26 0.918421052631579;
4 27 0.931645569620253;
4 28 0.688172043010753;
4 42 0.856368563685637;
4 43 0.926470588235294;
4 45 0.816901408450704;
4 48 0.851851851851852;
4 49 0.74331550802139;
5 8 0.817857142857143;
5 12 0.638020833333333;
5 13 0.713836477987421;
5 14 0.777777777777778;
5 21 0.653116531165312;
5 22 0.717391304347826;
5 24 0.773722627737226;
5 35 0.657568238213399;
5 36 0.689189189189189;
5 38 0.727272727272727;
5 45 0.648293963254593;
5 46 0.638755980861244;
5 51 0.707165109034268;
6 14 0.789473684210526;
6 23 0.81038961038961;
6 24 0.746031746031746;
6 25 0.802439024390244;
6 26 0.82010582010582;
6 27 0.83046683046683;
6 42 0.772853185595568;
6 43 0.826470588235294;
6 45 0.689008042895442;
6 48 0.89041095890411;
6 49 0.71105527638191;
7 8 0.909090909090909;
7 9 0.904109589041096;
7 10 0.872881355932203;
7 11 0.865671641791045;
7 12 0.884130982367758;
7 13 0.834355828220859;
7 14 1;
7 15 0.899497487437186;
7 16 0.89242053789731;
7 17 0.881927710843374;
7 18 0.908045977011494;
7 19 0.899262899262899;
7 20 0.932642487046632;
7 21 0.888297872340426;
7 22 0.747663551401869;
7 29 0.89047619047619;
7 30 0.893518518518518;
7 31 0.899543378995434;
7 32 0.893867924528302;
7 33 0.923990498812352;
7 34 0.898591549295775;
7 35 0.902912621359223;
7 36 0.916230366492147;
7 37 0.869897959183674;
7 38 0.901840490797546;
7 46 0.867132867132867;
7 47 0.887530562347188;
7 50 0.903846153846154;
7 51 0.914893617021277;
7 52 0.878048780487805;
7 53 0.878048780487805;
8 9 0.958762886597938;
8 10 1;
8 11 0.971929824561404;
8 12 0.952191235059761;
8 13 0.939914163090129;
8 14 1;
8 15 0.920318725099602;
8 16 0.936619718309859;
8 17 0.9375;
8 18 0.972508591065292;
8 19 0.970149253731343;
8 20 0.965034965034965;
8 21 0.971119133574007;
8 22 0.855123674911661;
8 24 0.916666666666667;
8 29 0.944444444444444;
8 30 0.962328767123288;
8 31 0.972508591065292;
8 32 0.961267605633803;
8 33 0.945392491467577;
8 34 0.945525291828794;
8 35 0.965397923875433;
8 36 0.956678700361011;
8 37 0.947565543071161;
8 38 0.973214285714286;
8 39 0.68259385665529;
8 40 0.684931506849315;
8 44 0.708661417322835;
8 46 0.972508591065292;
8 47 0.979310344827586;
8 50 0.979452054794521;
8 51 0.93127147766323;
8 52 1;
8 53 1;
9 10 0.967213114754098;
9 11 0.946601941747573;
9 12 0.950617283950617;
9 13 0.891891891891892;
9 14 1;
9 15 0.950738916256158;
9 16 0.957040572792363;
9 17 0.908235294117647;
9 18 0.97752808988764;
9 19 0.954106280193237;
9 20 0.944162436548223;
9 21 0.922077922077922;
9 22 0.791284403669725;
9 29 0.958041958041958;
9 30 0.954648526077097;
9 31 0.977678571428571;
9 32 0.97459584295612;
9 33 0.953596287703016;
9 34 0.911845730027548;
9 35 0.97624703087886;
9 36 0.938144329896907;
9 37 0.917705735660848;
9 38 0.940119760479042;
9 46 0.956719817767654;
9 47 0.971360381861575;
9 50 0.957746478873239;
9 51 0.964179104477612;
9 52 1;
9 53 1;
10 11 0.971698113207547;
10 12 0.91044776119403;
10 13 0.909090909090909;
10 14 0.894736842105263;
10 15 0.940298507462687;
10 16 0.926267281105991;
10 17 0.887445887445887;
10 18 0.95850622406639;
10 19 0.948936170212766;
10 20 0.894736842105263;
10 21 0.884816753926702;
10 22 0.673640167364017;
10 29 0.946666666666667;
10 30 0.94468085106383;
10 31 0.966942148760331;
10 32 0.957081545064378;
10 33 0.884444444444444;
10 34 0.936842105263158;
10 35 0.981481481481482;
10 36 0.88659793814433;
10 37 0.914141414141414;
10 38 0.930555555555556;
10 46 0.944444444444444;
10 47 0.981395348837209;
10 50 0.963636363636364;
10 51 0.896296296296296;
10 52 1;
10 53 1;
11 12 0.935309973045822;
11 13 0.894736842105263;
11 14 0.764705882352941;
11 15 0.924932975871314;
11 16 0.916883116883117;
11 17 0.884615384615385;
11 18 0.951338199513382;
11 19 0.934210526315789;
11 20 0.911917098445596;
11 21 0.898016997167139;
11 22 0.778054862842893;
11 29 0.918575063613232;
11 30 0.925925925925926;
11 31 0.951456310679612;
11 32 0.954773869346734;
11 33 0.91747572815534;
11 34 0.909638554216867;
11 35 0.968992248062015;
11 36 0.927170868347339;
11 37 0.914507772020725;
11 38 0.914473684210526;
11 46 0.948655256723716;
11 47 0.973890339425587;
11 50 0.948979591836735;
11 51 0.939024390243902;
11 52 1;
11 53 1;
12 13 0.879154078549849;
12 14 1;
12 15 0.915632754342432;
12 16 0.9155672823219;
12 17 0.89922480620155;
12 18 0.955334987593052;
12 19 0.92741935483871;
12 20 0.926136363636364;
12 21 0.901734104046243;
12 22 0.829516539440204;
12 29 0.932642487046632;
12 30 0.929824561403509;
12 31 0.945679012345679;
12 32 0.951776649746193;
12 33 0.938144329896907;
12 34 0.894736842105263;
12 35 0.968253968253968;
12 36 0.936416184971098;
12 37 0.90958904109589;
12 38 0.915407854984894;
12 46 0.947103274559194;
12 47 0.946949602122016;
12 50 0.942857142857143;
12 51 0.972881355932203;
12 52 1;
12 53 1;
13 14 0.764705882352941;
13 15 0.86144578313253;
13 16 0.891025641025641;
13 17 0.847133757961783;
13 18 0.90990990990991;
13 19 0.897350993377483;
13 20 0.885521885521885;
13 21 0.874213836477987;
13 22 0.885448916408669;
13 29 0.904458598726115;
13 30 0.884848484848485;
13 31 0.904477611940299;
13 32 0.907692307692308;
13 33 0.886435331230284;
13 34 0.898039215686275;
13 35 0.917197452229299;
13 36 0.902912621359223;
13 37 0.868686868686869;
13 38 0.911671924290221;
13 39 0.665671641791045;
13 40 0.651651651651652;
13 44 0.683823529411765;
13 46 0.911042944785276;
13 47 0.90273556231003;
13 50 0.929712460063898;
13 51 0.896995708154506;
14 15 1;
14 16 1;
14 17 1;
14 18 1;
14 19 1;
14 20 1;
14 21 1;
14 22 1;
14 23 0.789473684210526;
14 24 0.777777777777778;
14 25 0.764705882352941;
14 26 0.789473684210526;
14 27 0.777777777777778;
14 28 0.684210526315789;
14 29 1;
14 30 1;
14 31 1;
14 32 1;
14 33 0.894736842105263;
14 34 1;
14 35 1;
14 36 1;
14 37 1;
14 38 1;
14 39 0.947368421052632;
14 40 0.777777777777778;
14 41 0.882352941176471;
14 42 0.666666666666667;
14 44 1;
14 45 0.684210526315789;
14 46 1;
14 47 0.789473684210526;
14 48 0.888888888888889;
15 16 0.91578947368421;
15 17 0.909090909090909;
15 18 0.950372208436725;
15 19 0.922252010723861;
15 20 0.92090395480226;
15 21 0.918840579710145;
15 22 0.845177664974619;
15 29 0.917525773195876;
15 30 0.919799498746867;
15 31 0.921182266009852;
15 32 0.951898734177215;
15 33 0.948586118251928;
15 34 0.919504643962848;
15 35 0.947368421052632;
15 36 0.930835734870317;
15 37 0.898351648351648;
15 38 0.897590361445783;
15 46 0.924623115577889;
15 47 0.915119363395225;
15 50 0.921875;
15 51 0.945945945945946;
15 52 1;
15 53 1;
16 17 0.901515151515151;
16 18 0.951923076923077;
16 19 0.938144329896907;
16 20 0.92896174863388;
16 21 0.917355371900826;
16 22 0.769607843137255;
16 29 0.94;
16 30 0.934782608695652;
16 31 0.94272076372315;
16 32 0.933660933660934;
16 33 0.940298507462687;
16 34 0.92156862745098;
16 35 0.943877551020408;
16 36 0.92896174863388;
16 37 0.900804289544236;
16 38 0.929260450160772;
16 46 0.91504854368932;
16 47 0.944020356234097;
16 50 0.932692307692308;
16 51 0.938837920489297;
16 52 0.975308641975309;
16 53 0.975308641975309;
17 18 0.924528301886792;
17 19 0.895408163265306;
17 20 0.884408602150538;
17 21 0.898351648351648;
17 22 0.75544794188862;
17 29 0.919117647058823;
17 30 0.897374701670644;
17 31 0.908235294117647;
17 32 0.909975669099757;
17 33 0.889705882352941;
17 34 0.91304347826087;
17 35 0.917085427135678;
17 36 0.901369863013699;
17 37 0.886842105263158;
17 38 0.869009584664537;
17 46 0.899280575539568;
17 47 0.886934673366834;
17 50 0.90818858560794;
17 51 0.914012738853503;
17 52 1;
17 53 1;
18 19 0.968369829683698;
18 20 0.948979591836735;
18 21 0.947780678851175;
18 22 0.808314087759815;
18 29 0.967136150234742;
18 30 0.963553530751708;
18 31 0.964044943820225;
18 32 0.983720930232558;
18 33 0.957943925233645;
18 34 0.92797783933518;
18 35 0.985680190930788;
18 36 0.94300518134715;
18 37 0.9325;
18 38 0.957831325301205;
18 46 0.951834862385321;
18 47 0.961630695443645;
18 50 0.962174940898345;
18 51 0.964071856287425;
18 52 1;
18 53 1;
19 20 0.944903581267218;
19 21 0.927170868347339;
19 22 0.789081885856079;
19 29 0.937185929648241;
19 30 0.943488943488944;
19 31 0.958937198067633;
19 32 0.9525;
19 33 0.937027707808564;
19 34 0.929824561403509;
19 35 0.966494845360825;
19 36 0.936813186813187;
19 37 0.907859078590786;
19 38 0.956810631229236;
19 46 0.923456790123457;
19 47 0.958549222797927;
19 50 0.959493670886076;
19 51 0.92948717948718;
19 52 1;
19 53 1;
20 21 0.936599423631124;
20 22 0.774869109947644;
20 29 0.941952506596306;
20 30 0.948320413436692;
20 31 0.949238578680203;
20 32 0.934383202099738;
20 33 0.964556962025316;
20 34 0.911111111111111;
20 35 0.94579945799458;
20 36 0.958456973293769;
20 37 0.914835164835165;
20 38 0.953020134228188;
20 46 0.930769230769231;
20 47 0.94750656167979;
20 50 0.940860215053763;
20 51 0.97444089456869;
20 52 0.911764705882353;
20 53 0.911764705882353;
21 22 0.86436170212766;
21 29 0.939890710382514;
21 30 0.931216931216931;
21 31 0.916883116883117;
21 32 0.927807486631016;
21 33 0.929539295392954;
21 34 0.916398713826367;
21 35 0.92817679558011;
21 36 0.931428571428571;
21 37 0.909356725146199;
21 38 0.918495297805643;
21 39 0.661498708010336;
21 40 0.649350649350649;
21 44 0.661490683229814;
21 46 0.91820580474934;
21 47 0.910526315789474;
21 50 0.940054495912807;
21 51 0.935251798561151;
21 52 1;
21 53 1;
22 29 0.772727272727273;
22 30 0.795348837209302;
22 31 0.795871559633027;
22 32 0.800947867298578;
22 33 0.758949880668258;
22 34 0.754929577464789;
22 35 0.795121951219512;
22 36 0.817941952506596;
22 37 0.753213367609255;
22 38 0.940993788819876;
22 46 0.770491803278688;
22 47 0.805896805896806;
22 50 0.797590361445783;
22 51 0.726993865030675;
23 24 0.821917808219178;
23 25 0.775308641975309;
23 26 0.819407008086253;
23 27 0.816377171215881;
23 42 0.748587570621469;
23 43 0.805471124620061;
23 45 0.728900255754476;
23 48 0.807799442896936;
23 49 0.683937823834197;
24 25 0.777777777777778;
24 26 0.751937984496124;
24 27 0.728571428571429;
24 28 0.69;
24 35 0.676691729323308;
24 43 0.725190839694656;
24 45 0.664233576642336;
24 47 0.642276422764228;
24 48 0.722627737226277;
24 49 0.730769230769231;
24 51 0.763888888888889;
25 26 0.826633165829146;
25 27 0.846153846153846;
25 28 0.677002583979328;
25 42 0.765789473684211;
25 43 0.899721448467967;
25 45 0.714285714285714;
25 48 0.847938144329897;
25 49 0.710843373493976;
26 27 0.855329949238579;
26 28 0.645070422535211;
26 42 0.839673913043478;
26 43 0.900874635568513;
26 45 0.745810055865922;
26 48 0.824362606232295;
26 49 0.707894736842105;
27 42 0.829396325459318;
27 43 0.887640449438202;
27 45 0.738461538461539;
27 48 0.841558441558442;
27 49 0.720194647201946;
28 43 0.6625;
28 45 0.685552407932011;
29 30 0.952830188679245;
29 31 0.944055944055944;
29 32 0.949397590361446;
29 33 0.936893203883495;
29 34 0.910863509749304;
29 35 0.96029776674938;
29 36 0.913746630727763;
29 37 0.924281984334204;
29 38 0.923566878980892;
29 46 0.957244655581948;
29 47 0.940149625935162;
29 50 0.950859950859951;
29 51 0.939759036144578;
29 52 1;
29 53 1;
30 31 0.950113378684807;
30 32 0.946135831381733;
30 33 0.938823529411765;
30 34 0.925207756232687;
30 35 0.956626506024096;
30 36 0.911688311688312;
30 37 0.916243654822335;
30 38 0.938837920489297;
30 46 0.93287037037037;
30 47 0.946859903381642;
30 50 0.950118764845606;
30 51 0.943283582089552;
30 52 1;
30 53 1;
31 32 0.960739030023095;
31 33 0.930394431554524;
31 34 0.917355371900826;
31 35 0.97624703087886;
31 36 0.938461538461538;
31 37 0.907730673316708;
31 38 0.958208955223881;
31 46 0.952164009111617;
31 47 0.976133651551313;
31 50 0.962441314553991;
31 51 0.952238805970149;
31 52 1;
31 53 1;
32 33 0.949519230769231;
32 34 0.912921348314607;
32 35 0.977832512315271;
32 36 0.944444444444444;
32 37 0.922680412371134;
32 38 0.941358024691358;
32 46 0.952941176470588;
32 47 0.95320197044335;
32 50 0.949152542372881;
32 51 0.960122699386503;
32 52 0.974683544303797;
32 53 0.974683544303797;
33 34 0.902017291066282;
33 35 0.945679012345679;
33 36 0.956989247311828;
33 37 0.907730673316708;
33 38 0.930817610062893;
33 46 0.927400468384075;
33 47 0.930693069306931;
33 50 0.941463414634146;
33 51 0.976190476190476;
33 52 0.928571428571429;
33 53 0.928571428571429;
34 35 0.91812865497076;
34 36 0.894409937888199;
34 37 0.897196261682243;
34 38 0.914396887159533;
34 46 0.904761904761905;
34 47 0.917159763313609;
34 50 0.92817679558011;
34 51 0.89261744966443;
34 52 0.950617283950617;
34 53 0.950617283950617;
35 36 0.929155313351499;
35 37 0.944297082228117;
35 38 0.955128205128205;
35 46 0.963592233009709;
35 47 0.964467005076142;
35 50 0.974937343358396;
35 51 0.94578313253012;
35 52 1;
35 53 1;
36 37 0.909883720930233;
36 38 0.947540983606557;
36 46 0.928947368421053;
36 47 0.939226519337017;
36 50 0.940540540540541;
36 51 0.973333333333333;
36 52 0.904761904761905;
36 53 0.873015873015873;
37 38 0.88135593220339;
37 40 0.643391521197007;
37 46 0.934508816120907;
37 47 0.916890080428954;
37 50 0.918635170603675;
37 51 0.929032258064516;
37 52 1;
37 53 1;
38 39 0.662686567164179;
38 40 0.642642642642643;
38 44 0.665441176470588;
38 46 0.904907975460123;
38 47 0.951219512195122;
38 50 0.948717948717949;
38 51 0.937777777777778;
39 40 0.877777777777778;
39 41 0.696335078534031;
39 44 0.926701570680628;
40 41 0.664921465968586;
40 44 0.847368421052632;
40 50 0.63785046728972;
42 43 0.863501483679525;
42 45 0.72463768115942;
42 48 0.770833333333333;
42 49 0.667590027700831;
43 45 0.779141104294479;
43 48 0.833810888252149;
43 49 0.761061946902655;
45 48 0.663793103448276;
46 47 0.949029126213592;
46 50 0.940191387559809;
46 51 0.952238805970149;
46 52 1;
46 53 1;
47 50 0.964912280701754;
47 51 0.948553054662379;
47 52 1;
47 53 1;
48 49 0.744623655913978;
50 51 0.934718100890208;
50 52 1;
50 53 1;
51 52 0.928571428571429;
51 53 0.904761904761905;
52 53 1]
