n = 77
taille = 1526
Mat = [0 1 0.762626262626263;
0 3 -0.420634920634921;
0 4 -0.397163120567376;
0 6 0.716666666666667;
0 8 0.661538461538462;
0 9 0.677570093457944;
0 10 0.649769585253456;
0 11 0.688118811881188;
0 12 0.664739884393064;
0 13 0.860696517412935;
0 14 0.854166666666667;
0 15 0.898550724637681;
0 16 0.833333333333333;
0 17 0.877934272300469;
0 18 1;
0 36 0.808139534883721;
0 37 0.850746268656716;
0 38 0.869565217391304;
0 50 0.7;
0 52 0.692307692307692;
0 53 0.675675675675676;
0 60 0.788079470198676;
0 61 0.66504854368932;
0 65 -0.394088669950739;
0 67 0.670731707317073;
0 68 0.662037037037037;
0 72 0.672413793103448;
0 74 0.689393939393939;
0 75 0.822916666666667;
1 13 0.764397905759162;
1 14 0.782122905027933;
1 15 0.835897435897436;
1 16 0.836734693877551;
1 17 0.763819095477387;
1 18 0.928571428571429;
1 36 0.691823899371069;
1 37 0.890625;
1 38 0.8;
1 52 0.692307692307692;
1 74 0.778625954198473;
1 75 0.8;
2 3 0.701754385964912;
2 6 -0.541984732824427;
2 7 -0.503759398496241;
2 8 -0.44578313253012;
2 9 -0.52258064516129;
2 10 -0.522012578616352;
2 11 -0.510344827586207;
2 13 -0.379084967320261;
2 14 -0.426470588235294;
2 17 -0.401273885350318;
2 31 0.754716981132076;
2 33 -0.579710144927536;
2 46 -0.503184713375796;
2 47 -0.582781456953642;
2 48 -0.574803149606299;
2 49 -0.576923076923077;
2 50 -0.545454545454545;
2 51 -0.572327044025157;
2 55 0.654088050314465;
2 56 0.659722222222222;
2 61 -0.512820512820513;
2 66 0.794871794871795;
2 67 -0.50381679389313;
2 68 -0.537974683544304;
2 71 0.700934579439252;
2 72 -0.5859375;
3 6 -0.57;
3 7 -0.532258064516129;
3 8 -0.55;
3 9 -0.546875;
3 10 -0.546153846153846;
3 11 -0.547826086956522;
3 13 -0.476190476190476;
3 14 -0.511627906976744;
3 15 -0.452380952380952;
3 16 -0.395348837209302;
3 17 -0.515384615384615;
3 18 -0.425;
3 31 0.795698924731183;
3 33 -0.731707317073171;
3 36 -0.443181818181818;
3 38 -0.388888888888889;
3 46 -0.538461538461538;
3 47 -0.639344262295082;
3 48 -0.626984126984127;
3 49 -0.6015625;
3 50 -0.5625;
3 51 -0.603053435114504;
3 55 0.7;
3 56 0.739130434782609;
3 57 0.691056910569106;
3 60 -0.408;
3 61 -0.532258064516129;
3 62 0.676923076923077;
3 66 0.681818181818182;
3 67 -0.554545454545455;
3 68 -0.587786259541985;
3 71 0.755102040816326;
3 72 -0.571428571428571;
3 75 -0.404255319148936;
3 76 -0.488372093023256;
4 6 -0.583333333333333;
4 7 -0.591304347826087;
4 8 -0.563106796116505;
4 9 -0.583333333333333;
4 10 -0.585034013605442;
4 11 -0.553030303030303;
4 12 -0.564814814814815;
4 13 -0.45985401459854;
4 14 -0.516393442622951;
4 15 -0.438848920863309;
4 16 -0.36986301369863;
4 17 -0.475524475524476;
4 18 -0.384615384615385;
4 33 -0.565217391304348;
4 36 -0.418181818181818;
4 38 -0.377777777777778;
4 46 -0.583333333333333;
4 47 -0.595744680851064;
4 48 -0.612068965517241;
4 49 -0.591549295774648;
4 50 -0.604166666666667;
4 51 -0.602739726027397;
4 53 -0.566666666666667;
4 60 -0.392857142857143;
4 61 -0.568345323741007;
4 66 0.7;
4 67 -0.581196581196581;
4 68 -0.593103448275862;
4 72 -0.555555555555556;
4 75 -0.46031746031746;
4 76 -0.545454545454545;
5 52 -0.4;
6 7 0.894366197183099;
6 8 0.936507936507937;
6 9 0.917582417582418;
6 10 0.951612903225806;
6 11 0.82183908045977;
6 12 0.807142857142857;
6 13 0.698224852071006;
6 14 0.757763975155279;
6 15 0.725714285714286;
6 16 0.657458563535912;
6 17 0.762430939226519;
6 18 0.76;
6 19 -0.365714285714286;
6 20 -0.495575221238938;
6 25 -0.545454545454545;
6 26 -0.417582417582418;
6 27 -0.558441558441558;
6 28 -0.38953488372093;
6 29 -0.4;
6 31 -0.542553191489362;
6 32 -0.468571428571429;
6 33 0.911111111111111;
6 34 -0.424731182795699;
6 35 -0.475177304964539;
6 36 0.795774647887324;
6 38 0.742138364779874;
6 39 -0.403973509933775;
6 40 -0.365714285714286;
6 41 -0.402597402597403;
6 42 -0.405555555555556;
6 44 -0.472527472527473;
6 45 -0.450980392156863;
6 46 0.960674157303371;
6 47 0.932960893854749;
6 48 0.971830985915493;
6 49 0.93956043956044;
6 50 0.969879518072289;
6 51 0.915254237288136;
6 52 1;
6 53 0.781456953642384;
6 54 -0.551515151515152;
6 55 -0.486187845303867;
6 56 -0.536764705882353;
6 57 -0.446043165467626;
6 58 -0.379120879120879;
6 59 -0.414965986394558;
6 60 0.741935483870968;
6 61 0.937142857142857;
6 62 -0.556213017751479;
6 63 -0.456;
6 64 -0.371794871794872;
6 65 -0.664705882352941;
6 66 -0.842105263157895;
6 67 0.964285714285714;
6 68 0.858695652173913;
6 69 -0.468085106382979;
6 71 -0.527472527472527;
6 72 0.818181818181818;
6 75 0.655913978494624;
6 76 0.678571428571429;
7 8 0.927835051546392;
7 9 0.936781609195402;
7 10 0.859550561797753;
7 11 0.793939393939394;
7 13 0.682352941176471;
7 14 0.704545454545455;
7 15 0.656804733727811;
7 17 0.6875;
7 19 -0.369942196531792;
7 20 -0.42962962962963;
7 25 -0.5;
7 26 -0.418079096045198;
7 27 -0.470588235294118;
7 28 -0.369942196531792;
7 29 -0.389473684210526;
7 31 -0.526785714285714;
7 32 -0.429530201342282;
7 33 0.7;
7 34 -0.486033519553073;
7 35 -0.461538461538462;
7 38 0.655172413793103;
7 39 -0.406896551724138;
7 40 -0.379310344827586;
7 41 -0.391566265060241;
7 42 -0.410404624277457;
7 44 -0.429378531073446;
7 45 -0.517857142857143;
7 46 0.834285714285714;
7 47 0.934131736526946;
7 48 0.78698224852071;
7 49 0.868571428571429;
7 50 0.913907284768212;
7 51 0.857954545454545;
7 52 1;
7 53 0.651315789473684;
7 54 -0.497005988023952;
7 55 -0.425287356321839;
7 56 -0.511111111111111;
7 57 -0.455223880597015;
7 59 -0.415492957746479;
7 61 0.958579881656805;
7 62 -0.544871794871795;
7 63 -0.431034482758621;
7 64 -0.4;
7 65 -0.547619047619048;
7 66 -0.568181818181818;
7 67 0.934959349593496;
7 68 0.804469273743017;
7 69 -0.453900709219858;
7 71 -0.487179487179487;
7 72 0.76978417266187;
7 75 0.670731707317073;
8 9 0.932835820895522;
8 10 0.904411764705882;
8 11 0.791666666666667;
8 12 0.818181818181818;
8 13 0.65;
8 14 0.705357142857143;
8 15 0.684615384615385;
8 16 0.656488549618321;
8 17 0.717557251908397;
8 18 0.8;
8 20 -0.545454545454545;
8 23 -0.384;
8 25 -0.590909090909091;
8 26 -0.403100775193798;
8 27 -0.591549295774648;
8 28 -0.370967741935484;
8 29 -0.482758620689655;
8 31 -0.480769230769231;
8 32 -0.48;
8 33 0.918367346938776;
8 34 -0.375;
8 35 -0.459770114942529;
8 36 0.759398496240602;
8 38 0.785046728971963;
8 39 -0.428571428571429;
8 41 -0.418181818181818;
8 42 -0.413533834586466;
8 43 -0.402061855670103;
8 44 -0.462121212121212;
8 45 -0.5;
8 46 0.902255639097744;
8 47 0.953125;
8 48 0.903846153846154;
8 49 0.946153846153846;
8 50 0.982758620689655;
8 51 0.93984962406015;
8 52 1;
8 53 0.815789473684211;
8 54 -0.48780487804878;
8 55 -0.412213740458015;
8 56 -0.482758620689655;
8 57 -0.382022471910112;
8 58 -0.398496240601504;
8 59 -0.495412844036697;
8 60 0.694117647058824;
8 61 0.961240310077519;
8 62 -0.521739130434783;
8 63 -0.379746835443038;
8 64 -0.405405405405405;
8 65 -0.582677165354331;
8 66 -0.888888888888889;
8 67 0.956521739130435;
8 68 0.805970149253731;
8 69 -0.408163265306122;
8 71 -0.4;
8 72 0.775510204081633;
8 75 0.670731707317073;
9 10 0.909502262443439;
9 11 0.839805825242718;
9 12 0.744318181818182;
9 13 0.719211822660099;
9 14 0.760204081632653;
9 15 0.71563981042654;
9 17 0.728110599078341;
9 20 -0.439716312056738;
9 25 -0.478527607361963;
9 26 -0.383177570093458;
9 27 -0.441176470588235;
9 28 -0.368932038834951;
9 29 -0.405660377358491;
9 31 -0.524590163934426;
9 32 -0.478260869565217;
9 33 0.733333333333333;
9 34 -0.477477477477477;
9 35 -0.467455621301775;
9 38 0.67379679144385;
9 39 -0.370786516853933;
9 41 -0.389189189189189;
9 42 -0.368663594470046;
9 44 -0.428571428571429;
9 45 -0.467532467532468;
9 46 0.873239436619718;
9 47 0.947368421052632;
9 48 0.777777777777778;
9 49 0.880184331797235;
9 50 0.948186528497409;
9 51 0.886255924170616;
9 52 1;
9 53 0.73015873015873;
9 54 -0.45320197044335;
9 55 -0.435185185185185;
9 56 -0.527272727272727;
9 57 -0.455089820359281;
9 59 -0.376404494382022;
9 60 0.657894736842105;
9 61 0.971698113207547;
9 62 -0.54040404040404;
9 63 -0.455284552845528;
9 65 -0.585365853658537;
9 66 -0.613636363636364;
9 67 0.970414201183432;
9 68 0.840909090909091;
9 69 -0.403508771929825;
9 71 -0.516393442622951;
9 72 0.827777777777778;
9 73 -0.370967741935484;
9 75 0.76;
9 76 0.648351648351648;
10 11 0.778846153846154;
10 12 0.687150837988827;
10 14 0.68;
10 17 0.683257918552036;
10 20 -0.441379310344828;
10 25 -0.478787878787879;
10 27 -0.447619047619048;
10 29 -0.403669724770642;
10 31 -0.523809523809524;
10 32 -0.439153439153439;
10 33 0.736842105263158;
10 34 -0.402654867256637;
10 35 -0.468208092485549;
10 36 0.733333333333333;
10 38 0.678947368421053;
10 44 -0.411764705882353;
10 45 -0.468354430379747;
10 46 0.953703703703704;
10 47 0.901408450704225;
10 48 0.862637362637363;
10 49 0.836363636363636;
10 50 0.949238578680203;
10 51 0.851162790697674;
10 52 1;
10 53 0.675392670157068;
10 54 -0.473170731707317;
10 55 -0.445454545454545;
10 56 -0.520710059171598;
10 57 -0.456140350877193;
10 59 -0.377777777777778;
10 60 0.653846153846154;
10 61 0.925233644859813;
10 62 -0.53960396039604;
10 63 -0.4609375;
10 65 -0.574162679425837;
10 66 -0.590909090909091;
10 67 0.970414201183432;
10 68 0.803571428571429;
10 69 -0.365714285714286;
10 71 -0.5;
10 72 0.758241758241758;
11 12 0.817073170731707;
11 13 0.729166666666667;
11 14 0.759562841530055;
11 15 0.71356783919598;
11 16 0.653465346534653;
11 17 0.720588235294118;
11 20 -0.461538461538462;
11 25 -0.496644295302013;
11 26 -0.395121951219512;
11 27 -0.468085106382979;
11 31 -0.490909090909091;
11 32 -0.461988304093567;
11 33 0.741935483870968;
11 34 -0.483253588516746;
11 35 -0.477707006369427;
11 38 0.664739884393064;
11 39 -0.383233532934132;
11 40 -0.368686868686869;
11 41 -0.371428571428571;
11 42 -0.369458128078818;
11 44 -0.426470588235294;
11 45 -0.468085106382979;
11 46 0.746268656716418;
11 47 0.83756345177665;
11 48 0.759036144578313;
11 49 0.848039215686274;
11 50 0.877777777777778;
11 51 0.844221105527638;
11 52 1;
11 53 0.737142857142857;
11 54 -0.409574468085106;
11 55 -0.406862745098039;
11 56 -0.480519480519481;
11 57 -0.435897435897436;
11 58 -0.365853658536585;
11 59 -0.36969696969697;
11 61 0.818181818181818;
11 62 -0.513513513513513;
11 63 -0.434782608695652;
11 65 -0.552083333333333;
11 66 -0.5;
11 67 0.885542168674699;
11 68 0.942028985507246;
11 69 -0.46875;
11 71 -0.487179487179487;
11 72 0.933734939759036;
11 75 0.808080808080808;
11 76 0.648351648351648;
12 13 0.691358024691358;
12 14 0.733766233766234;
12 15 0.691860465116279;
12 16 0.653179190751445;
12 17 0.6875;
12 29 -0.384615384615385;
12 32 -0.48951048951049;
12 38 0.680272108843537;
12 45 -0.508928571428571;
12 47 0.720238095238095;
12 49 0.701149425287356;
12 50 0.769736842105263;
12 51 0.692307692307692;
12 52 1;
12 53 0.932432432432432;
12 61 0.715976331360947;
12 67 0.755905511811024;
12 68 0.803370786516854;
12 72 0.759124087591241;
12 74 0.670212765957447;
12 75 0.8125;
13 14 0.923497267759563;
