n = 37
taille = 279
Mat = [0 1 0.986486486486487;
0 2 1;
0 3 0.935185185185185;
0 4 0.940298507462687;
0 5 1;
0 6 0.987577639751553;
0 7 0.731707317073171;
0 8 0.736842105263158;
0 9 0.638613861386139;
0 20 0.987341772151899;
0 21 0.767123287671233;
0 22 0.748837209302326;
0 25 0.971098265895954;
0 26 0.969072164948454;
0 27 0.919431279620853;
0 29 0.63448275862069;
0 32 0.959183673469388;
0 33 0.94949494949495;
0 35 0.9;
0 36 0.73972602739726;
1 2 0.994652406417112;
1 3 0.940366972477064;
1 4 0.945812807881773;
1 5 1;
1 6 0.98780487804878;
1 7 0.736;
1 8 0.740932642487047;
1 9 0.627450980392157;
1 20 0.9875;
1 21 0.771812080536913;
1 22 0.738532110091743;
1 25 0.965714285714286;
1 26 0.989847715736041;
1 27 0.925233644859813;
1 29 0.653061224489796;
1 32 0.944723618090452;
1 33 0.96;
1 35 0.9;
1 36 0.698630136986301;
2 3 1;
2 4 0.987878787878788;
2 5 1;
2 6 0.986486486486487;
2 7 0.73728813559322;
2 8 0.737704918032787;
2 9 0.754491017964072;
2 20 0.986666666666667;
2 21 0.76978417266187;
2 22 0.755555555555556;
2 25 0.968553459119497;
2 26 0.975;
2 27 0.943502824858757;
2 29 0.621428571428571;
2 32 0.976047904191617;
2 33 0.984848484848485;
2 35 1;
2 36 0.888888888888889;
3 4 0.94;
3 5 1;
3 6 0.987341772151899;
3 7 0.75;
3 8 0.741935483870968;
3 9 0.690355329949239;
3 20 0.986928104575163;
3 21 0.776223776223776;
3 22 0.687203791469194;
3 25 0.970238095238095;
3 26 0.916230366492147;
3 27 0.879227053140097;
3 29 0.636986301369863;
3 32 0.896373056994819;
3 33 0.85;
3 35 0.6;
3 36 0.657534246575342;
4 5 0.981981981981982;
4 6 0.972413793103448;
4 7 0.715447154471545;
4 8 0.75;
4 9 0.653846153846154;
4 20 0.972972972972973;
4 21 0.762962962962963;
4 22 0.722772277227723;
4 25 0.955974842767296;
4 26 0.923913043478261;
4 27 0.917098445595855;
4 29 0.636986301369863;
4 32 0.916201117318436;
4 33 0.89010989010989;
4 35 0.764705882352941;
4 36 0.681818181818182;
5 6 1;
5 7 0.728971962616822;
5 8 0.741071428571429;
5 9 0.683673469387755;
5 15 0.679012345679012;
5 20 0.981981981981982;
5 21 0.765765765765766;
5 22 0.702702702702703;
5 25 0.972972972972973;
5 26 0.971698113207547;
5 27 0.945454545454545;
5 29 0.710843373493976;
5 32 0.990476190476191;
6 7 0.752;
6 8 0.703225806451613;
6 9 0.72108843537415;
6 15 0.613445378151261;
6 20 0.986394557823129;
6 21 0.755102040816326;
6 22 0.734177215189873;
6 25 0.980891719745223;
6 26 0.978102189781022;
6 27 0.938650306748466;
6 29 0.745454545454545;
6 32 0.974358974358974;
6 33 0.926829268292683;
6 35 1;
6 36 0.933333333333333;
7 8 0.886178861788618;
7 9 0.917431192660551;
7 12 0.636363636363636;
7 15 0.701030927835051;
7 16 0.655737704918033;
7 20 0.752136752136752;
7 21 0.864;
7 22 0.864;
7 25 0.725806451612903;
7 26 0.715596330275229;
7 27 0.733870967741935;
7 29 0.639175257731959;
7 32 0.73109243697479;
7 33 0.882352941176471;
7 34 1;
8 9 0.913294797687861;
8 12 0.597633136094675;
8 20 0.728476821192053;
8 21 0.86986301369863;
8 22 0.887096774193548;
8 25 0.709090909090909;
8 26 0.738095238095238;
8 27 0.714285714285714;
8 32 0.728323699421965;
8 33 0.75;
8 35 0.666666666666667;
8 36 0.863636363636364;
9 20 0.727272727272727;
9 21 0.887218045112782;
9 22 0.776649746192893;
9 25 0.708860759493671;
9 27 0.608247422680412;
9 28 -0.142857142857143;
9 32 0.661111111111111;
9 36 0.757142857142857;
10 11 0.745664739884393;
10 12 0.642105263157895;
10 14 0.68075117370892;
10 15 0.625850340136054;
10 16 0.674641148325359;
10 17 0.759433962264151;
10 18 0.642512077294686;
10 30 0.755;
10 31 0.719298245614035;
11 12 0.754491017964072;
11 14 0.774725274725275;
11 15 0.728;
11 16 0.733333333333333;
11 17 0.834254143646409;
11 18 0.711864406779661;
11 23 0.720670391061452;
11 24 0.669117647058823;
11 30 0.817647058823529;
11 31 0.815068493150685;
12 13 0.623115577889447;
12 14 0.712871287128713;
12 15 0.762589928057554;
12 16 0.666666666666667;
12 17 0.716417910447761;
12 18 0.698979591836735;
12 22 0.615384615384615;
12 23 0.611111111111111;
12 30 0.636842105263158;
12 31 0.678787878787879;
13 14 0.651785714285714;
13 15 0.75796178343949;
13 18 0.684931506849315;
13 30 0.663507109004739;
14 15 0.729559748427673;
14 16 0.753363228699552;
14 17 0.787610619469027;
14 18 0.751131221719457;
14 23 0.681818181818182;
14 24 0.611111111111111;
14 30 0.738317757009346;
14 31 0.717391304347826;
15 16 0.67741935483871;
15 17 0.651898734177215;
15 18 0.727272727272727;
15 21 0.693693693693694;
15 25 0.595588235294118;
15 27 0.625850340136054;
15 28 0.846153846153846;
15 30 0.69281045751634;
15 31 0.73202614379085;
16 17 0.725225225225225;
16 18 0.700460829493088;
16 23 0.643518518518518;
16 28 -0.111111111111111;
16 30 0.69047619047619;
16 31 0.707182320441989;
17 18 0.727272727272727;
17 23 0.730593607305936;
17 24 0.633540372670807;
17 30 0.788732394366197;
17 31 0.797814207650273;
18 23 0.616822429906542;
18 24 0.656050955414013;
18 30 0.685714285714286;
18 31 0.715083798882682;
20 21 0.739130434782609;
20 22 0.75625;
20 25 0.966442953020134;
20 26 0.964788732394366;
20 27 0.924528301886792;
20 29 0.596491228070175;
20 32 0.971830985915493;
20 33 1;
20 35 1;
20 36 0.85;
21 22 0.859060402684564;
21 25 0.736486486486487;
21 26 0.732824427480916;
21 27 0.743243243243243;
21 29 0.679245283018868;
21 32 0.767605633802817;
21 33 0.84;
21 34 1;
22 25 0.718390804597701;
22 26 0.720812182741117;
22 27 0.758454106280193;
22 32 0.740932642487047;
22 33 0.827956989247312;
22 35 1;
22 36 0.833333333333333;
23 24 0.687898089171974;
23 30 0.652173913043478;
23 31 0.655367231638418;
24 28 -0.179487179487179;
24 31 0.717557251908397;
25 26 0.954248366013072;
25 27 0.92485549132948;
25 29 0.744;
25 32 0.958333333333333;
25 33 0.96;
25 34 0.909090909090909;
25 35 1;
25 36 0.875;
26 27 0.908602150537634;
26 29 0.612403100775194;
26 32 0.92485549132948;
26 33 0.962025316455696;
26 35 0.882352941176471;
26 36 0.676923076923077;
27 32 0.909574468085106;
27 33 0.934065934065934;
27 35 0.90625;
27 36 0.6875;
28 29 0.692307692307692;
28 31 0.846153846153846;
29 32 0.790697674418605;
29 34 1;
29 35 0.777777777777778;
30 31 0.773255813953488;
32 33 0.851851851851852;
32 34 0.659090909090909;
32 35 0.941176470588235;
32 36 0.796296296296296;
33 35 0.875;
33 36 0.698630136986301;
35 36 0.8]
