n = 103
taille = 2587
Mat = [0 1 0.949238578680203;
0 3 0.782122905027933;
0 4 0.805714285714286;
0 5 0.793103448275862;
0 6 0.747524752475248;
0 7 0.764397905759162;
0 8 0.761658031088083;
0 9 0.843023255813954;
0 10 0.748768472906404;
0 11 0.72316384180791;
0 12 0.796610169491525;
0 13 0.771144278606965;
0 14 0.713375796178344;
0 15 0.796875;
0 16 0.794736842105263;
0 17 0.784530386740331;
0 18 0.852173913043478;
0 19 0.792682926829268;
0 20 0.751633986928105;
0 21 0.740932642487047;
0 22 0.756345177664975;
0 23 0.776119402985075;
0 24 0.730569948186529;
0 26 0.520833333333333;
0 28 0.582010582010582;
0 30 0.605555555555556;
0 32 0.536723163841808;
0 38 -0.132352941176471;
0 45 -0.13903743315508;
0 56 -0.0995024875621891;
0 66 -0.176165803108808;
0 67 -0.101010101010101;
0 69 0.551020408163265;
0 71 0.949640287769784;
0 72 0.900990099009901;
0 73 0.956989247311828;
0 78 0.734042553191489;
0 79 0.831460674157303;
0 80 0.844827586206897;
0 81 0.811688311688312;
0 82 0.686746987951807;
0 83 0.9;
0 84 0.927083333333333;
0 85 0.893401015228426;
0 86 0.782352941176471;
0 87 0.826086956521739;
0 88 0.74;
0 90 0.771276595744681;
0 91 0.729591836734694;
0 92 0.729591836734694;
0 93 0.770408163265306;
0 94 0.809248554913295;
0 95 0.709677419354839;
0 98 0.75;
0 100 0.912280701754386;
1 3 0.8;
1 4 0.824468085106383;
1 5 0.809090909090909;
1 6 0.76605504587156;
1 7 0.777777777777778;
1 8 0.778846153846154;
1 9 0.846560846560847;
1 10 0.767123287671233;
1 11 0.753926701570681;
1 12 0.844559585492228;
1 13 0.788018433179724;
1 14 0.748538011695906;
1 15 0.819672131147541;
1 16 0.800970873786408;
1 17 0.803030303030303;
1 18 0.824074074074074;
1 19 0.808641975308642;
1 20 0.770588235294118;
1 21 0.779904306220096;
1 22 0.76056338028169;
1 23 0.774193548387097;
1 24 0.751196172248804;
1 26 0.569620253164557;
1 28 0.622549019607843;
1 30 0.666666666666667;
1 32 0.558974358974359;
1 38 -0.0863636363636364;
1 45 -0.12807881773399;
1 66 -0.148325358851675;
1 69 0.582938388625592;
1 70 0.49740932642487;
1 71 0.956834532374101;
1 72 0.906976744186046;
1 73 0.95;
1 78 0.769607843137255;
1 79 0.855670103092783;
1 80 0.852631578947368;
1 81 0.807017543859649;
1 82 0.708791208791209;
1 83 0.915492957746479;
1 84 0.91304347826087;
1 85 0.906542056074766;
1 86 0.810810810810811;
1 87 0.844827586206897;
1 88 0.768518518518518;
1 90 0.787128712871287;
1 91 0.748815165876777;
1 92 0.730964467005076;
1 93 0.786729857819905;
1 94 0.825396825396825;
