n = 53
taille = 689
Mat = [0 1 0.945355191256831;
0 2 0.940860215053763;
0 3 -0.347517730496454;
0 4 -0.516556291390728;
0 5 -0.617283950617284;
0 13 0.557692307692308;
0 22 -0.442424242424242;
0 23 -0.516129032258065;
0 24 -0.483695652173913;
0 25 -0.452380952380952;
0 26 -0.49171270718232;
0 27 -0.413173652694611;
0 29 0.573099415204678;
0 38 0.966480446927374;
0 39 0.940860215053763;
0 40 0.876470588235294;
0 41 -0.520958083832335;
0 42 -0.689922480620155;
0 43 0.954545454545455;
0 44 -0.494186046511628;
0 47 -0.309352517985612;
0 48 -0.482352941176471;
1 2 0.977272727272727;
1 3 -0.310344827586207;
1 4 -0.435483870967742;
1 5 -0.538461538461538;
1 13 0.546762589928058;
1 22 -0.41025641025641;
1 23 -0.428571428571429;
1 24 -0.454128440366972;
1 25 -0.477272727272727;
1 26 -0.455399061032864;
1 27 -0.417085427135678;
1 29 0.560975609756098;
1 38 0.976415094339623;
1 39 0.972727272727273;
1 40 0.936170212765957;
1 41 -0.517045454545455;
1 42 -0.695652173913043;
1 43 0.966507177033493;
1 44 -0.480582524271845;
1 48 -0.352941176470588;
2 3 -0.286516853932584;
2 4 -0.431578947368421;
2 5 -0.535353535353535;
2 13 0.531914893617021;
2 22 -0.38;
2 23 -0.434782608695652;
2 24 -0.426008968609865;
2 25 -0.477777777777778;
2 26 -0.431192660550459;
2 27 -0.392156862745098;
2 29 0.547619047619048;
2 38 0.977064220183486;
2 39 0.973333333333333;
2 40 0.906735751295337;
2 41 -0.491620111731844;
2 42 -0.697841726618705;
2 43 0.985981308411215;
2 44 -0.464454976303318;
2 48 -0.35;
3 4 0.701388888888889;
3 5 0.754966887417219;
3 6 0.858974358974359;
3 22 0.707792207792208;
3 23 0.71551724137931;
3 24 0.772727272727273;
3 25 0.744360902255639;
3 26 0.738372093023256;
3 27 0.656050955414013;
3 39 -0.286516853932584;
3 40 -0.313725490196078;
3 41 0.740740740740741;
3 42 0.763440860215054;
3 43 -0.285714285714286;
3 44 0.721212121212121;
3 47 0.8671875;
3 48 0.76271186440678;
4 5 0.896341463414634;
4 6 0.596385542168675;
4 22 0.874251497005988;
4 23 0.774436090225564;
4 24 0.920212765957447;
4 25 0.903225806451613;
4 26 0.853260869565217;
4 27 0.844086021505376;
4 38 -0.423076923076923;
4 39 -0.410526315789474;
4 40 -0.455696202531646;
4 41 0.840764331210191;
4 42 0.954545454545455;
4 43 -0.47752808988764;
4 44 0.852272727272727;
4 47 0.556291390728477;
4 48 0.676767676767677;
5 6 0.651428571428571;
5 22 0.874285714285714;
5 23 0.78343949044586;
5 24 0.913705583756345;
5 25 0.868421052631579;
5 26 0.860824742268041;
5 27 0.820224719101124;
5 38 -0.547368421052632;
5 39 -0.542713567839196;
5 40 -0.526315789473684;
5 41 0.848684210526316;
5 42 0.933823529411765;
5 43 -0.541666666666667;
5 44 0.867724867724868;
5 47 0.629139072847682;
5 48 0.741379310344828;
6 22 0.622857142857143;
6 23 0.554744525547445;
6 24 0.683417085427136;
6 25 0.592356687898089;
6 26 0.658163265306122;
6 27 0.574585635359116;
6 40 -0.27906976744186;
6 41 0.553459119496855;
6 42 0.565217391304348;
6 44 0.597883597883598;
6 47 0.919254658385093;
6 48 0.765765765765766;
7 8 0.882352941176471;
7 9 0.85972850678733;
7 10 0.91578947368421;
7 11 0.899038461538462;
7 12 0.858490566037736;
7 13 0.635714285714286;
7 14 0.893518518518518;
7 15 0.879581151832461;
7 16 0.923809523809524;
7 17 0.941176470588235;
7 18 0.726829268292683;
7 19 0.872093023255814;
7 20 0.773480662983425;
7 21 0.688172043010753;
7 28 0.831775700934579;
7 29 0.748792270531401;
7 30 0.911627906976744;
7 31 0.914141414141414;
7 32 0.900452488687783;
7 33 0.699453551912568;
7 34 0.889908256880734;
7 35 0.930817610062893;
7 36 0.866359447004608;
7 37 0.733766233766234;
7 45 0.907834101382488;
7 46 0.903381642512077;
7 49 0.913875598086124;
7 50 0.914893617021277;
7 51 0.934782608695652;
7 52 1;
8 9 0.864077669902913;
8 10 0.91578947368421;
8 11 0.936170212765957;
8 12 0.876288659793814;
8 13 0.616438356164384;
8 14 0.84;
8 15 0.877551020408163;
8 16 0.894736842105263;
8 17 0.864077669902913;
8 18 0.877551020408163;
8 19 0.879310344827586;
8 20 0.530120481927711;
8 21 0.56989247311828;
8 28 0.78;
8 29 0.7;
8 30 0.855670103092783;
8 31 0.912621359223301;
8 32 0.901960784313726;
8 33 0.725274725274725;
8 34 0.87;
8 35 0.912280701754386;
8 36 0.85;
8 37 0.831168831168831;
8 41 -0.287234042553192;
8 45 0.841584158415842;
8 46 0.900990099009901;
8 49 0.922330097087379;
8 50 0.941747572815534;
8 51 1;
8 52 1;
9 10 0.882051282051282;
9 11 0.850467289719626;
9 12 0.807339449541284;
9 13 0.626760563380282;
9 14 0.882882882882883;
9 15 0.872448979591837;
9 16 0.842592592592593;
9 17 0.859030837004405;
9 18 0.671428571428571;
9 19 0.864406779661017;
9 20 0.756756756756757;
9 21 0.696335078534031;
9 28 0.794520547945205;
9 29 0.682464454976303;
9 30 0.886877828054299;
9 31 0.852941176470588;
9 32 0.849557522123894;
9 33 0.723404255319149;
9 34 0.838565022421525;
9 35 0.865853658536585;
9 36 0.820627802690583;
9 37 0.705128205128205;
9 45 0.86036036036036;
9 46 0.85781990521327;
9 49 0.869158878504673;
9 50 0.917241379310345;
9 51 0.959183673469388;
9 52 0.9375;
10 11 0.934065934065934;
10 12 0.827956989247312;
10 13 0.642857142857143;
10 14 0.9;
10 15 0.914634146341463;
10 16 0.897297297297297;
10 17 0.912820512820513;
10 18 0.723756906077348;
10 19 0.883561643835616;
10 20 0.75;
10 21 0.65625;
10 28 0.803108808290155;
10 29 0.716666666666667;
10 30 0.920634920634921;
10 31 0.912371134020619;
10 32 0.882051282051282;
10 33 0.7125;
10 34 0.869791666666667;
10 35 0.904411764705882;
10 36 0.837696335078534;
10 37 0.717741935483871;
10 45 0.858638743455497;
10 46 0.899441340782123;
10 49 0.901098901098901;
10 50 0.91970802919708;
10 51 0.857142857142857;
10 52 0.875;
11 12 0.834146341463415;
11 13 0.635714285714286;
11 14 0.875598086124402;
11 15 0.869565217391304;
11 16 0.907317073170732;
11 17 0.892523364485981;
11 18 0.737373737373737;
11 19 0.865853658536585;
11 20 0.716763005780347;
11 21 0.696629213483146;
11 28 0.79126213592233;
11 29 0.732323232323232;
11 30 0.884615384615385;
11 31 0.890052356020942;
11 32 0.868544600938967;
