n = 87
taille = 1690
Mat = [0 1 0.927437641723356;
0 2 0.939393939393939;
0 3 0.956896551724138;
0 24 0.704;
0 26 0.799019607843137;
0 27 0.80728051391863;
0 28 -0.4;
0 29 0.66304347826087;
0 30 0.646153846153846;
0 31 0.781321184510251;
0 32 0.831818181818182;
0 33 0.807606263982103;
0 34 0.807228915662651;
0 35 0.758389261744966;
0 36 0.81123595505618;
0 37 0.796610169491525;
0 38 0.676056338028169;
0 39 0.808290155440414;
0 40 0.806451612903226;
0 41 0.8274231678487;
0 42 0.792494481236203;
0 43 0.763925729442971;
0 44 0.807017543859649;
0 45 0.787878787878788;
0 46 0.637362637362637;
0 49 0.820143884892086;
0 53 0.762135922330097;
0 54 0.798245614035088;
0 55 0.78494623655914;
0 56 0.801705756929638;
0 61 -0.371165644171779;
0 62 0.726443768996961;
0 65 -0.587064676616915;
0 66 0.798657718120805;
0 69 0.788079470198676;
0 70 -0.337110481586402;
0 72 0.805676855895197;
0 73 0.812339331619537;
0 74 0.828947368421053;
0 75 0.759206798866855;
0 76 0.807511737089202;
0 77 0.810650887573965;
0 85 0.788659793814433;
0 86 1;
1 2 0.944337811900192;
1 3 0.921001926782274;
1 4 -0.311111111111111;
1 24 0.666666666666667;
1 25 -0.259433962264151;
1 26 0.816964285714286;
1 27 0.788167938931298;
1 29 0.692307692307692;
1 30 0.692307692307692;
1 31 0.788617886178862;
1 32 0.822085889570552;
1 33 0.798804780876494;
1 34 0.786016949152542;
1 35 0.780684104627767;
1 36 0.795031055900621;
1 37 0.77882797731569;
1 38 0.759036144578313;
1 39 0.802247191011236;
1 40 0.789823008849557;
1 41 0.816631130063966;
1 42 0.791015625;
1 43 0.770883054892601;
1 44 0.793172690763052;
1 45 0.770419426048565;
1 46 0.623655913978495;
1 49 0.814024390243902;
1 53 0.75635593220339;
1 54 0.781052631578947;
1 55 0.762790697674419;
1 56 0.797687861271676;
1 61 -0.368421052631579;
1 62 0.767567567567568;
1 65 -0.460580912863071;
1 66 0.815195071868583;
1 69 0.779559118236473;
1 70 -0.346437346437346;
1 72 0.784431137724551;
1 73 0.814117647058824;
1 74 0.784905660377359;
1 75 0.75990099009901;
1 76 0.763948497854077;
1 77 0.773584905660377;
1 85 0.775700934579439;
1 86 1;
2 3 0.928440366972477;
2 4 -0.298342541436464;
2 24 0.69047619047619;
2 26 0.835497835497836;
2 27 0.804744525547445;
