n = 87
taille = 1164
Mat = [0 1 0.777142857142857;
0 2 0.84020618556701;
0 3 0.885786802030457;
0 6 0.668555240793201;
0 7 0.701298701298701;
0 9 0.671875;
0 10 0.690666666666667;
0 11 0.69054441260745;
0 17 0.655172413793103;
0 47 0.690860215053763;
0 50 0.648148148148148;
0 57 0.697247706422018;
0 58 0.690537084398977;
0 59 0.711340206185567;
0 63 0.746666666666667;
0 67 0.641025641025641;
0 71 0.671875;
0 77 0.657794676806084;
0 80 0.676258992805755;
0 82 0.660777385159011;
0 84 0.711026615969582;
0 85 0.656488549618321;
1 2 0.838709677419355;
1 3 0.848623853211009;
1 7 0.68;
1 9 0.655339805825243;
1 10 0.673267326732673;
1 34 0.638190954773869;
1 39 0.643617021276596;
1 41 0.651685393258427;
1 49 0.678260869565217;
1 53 0.647959183673469;
1 57 0.644859813084112;
1 58 0.663551401869159;
1 63 0.666666666666667;
1 65 -0.25;
1 73 0.686274509803922;
1 74 0.761061946902655;
1 75 0.65891472868217;
1 76 0.703296703296703;
1 77 0.773584905660377;
1 82 0.694444444444444;
1 85 0.816091954022989;
1 86 1;
2 3 0.889400921658986;
2 6 0.715877437325905;
2 7 0.753086419753086;
2 8 0.64;
2 9 0.717647058823529;
2 10 0.723150357995227;
2 11 0.695402298850575;
2 47 0.717678100263852;
2 50 0.711904761904762;
2 57 0.75;
2 58 0.711981566820276;
2 59 0.712871287128713;
2 63 0.775;
2 67 0.663865546218487;
2 71 0.692307692307692;
2 80 0.685714285714286;
2 82 0.708978328173375;
2 84 0.69811320754717;
2 86 1;
3 6 0.708333333333333;
3 7 0.688311688311688;
3 9 0.713286713286713;
3 10 0.724056603773585;
3 11 0.692957746478873;
3 47 0.716535433070866;
3 50 0.650943396226415;
3 57 0.666666666666667;
3 58 0.726027397260274;
3 59 0.67;
3 63 0.756756756756757;
3 71 0.687022900763359;
3 80 0.705673758865248;
3 82 0.746951219512195;
3 84 0.721189591078067;
3 85 0.646864686468647;
3 86 1;
4 5 0.84;
4 17 0.642857142857143;
4 21 0.815789473684211;
4 48 0.811594202898551;
4 52 0.682926829268293;
4 76 0.666666666666667;
5 48 0.844444444444444;
5 51 0.785714285714286;
5 52 0.773584905660377;
6 7 0.805970149253731;
6 8 0.829545454545455;
6 9 0.958448753462604;
6 10 0.968390804597701;
6 11 0.959501557632399;
6 47 0.96100278551532;
6 57 0.957446808510638;
6 58 0.938888888888889;
6 59 0.857142857142857;
6 63 0.906666666666667;
6 67 0.973214285714286;
6 68 0.858006042296072;
6 71 0.94150417827298;
6 80 0.977011494252874;
6 82 0.954545454545455;
6 84 0.959349593495935;
6 86 1;
7 9 0.88;
7 10 0.893939393939394;
7 11 0.909090909090909;
7 23 0.678571428571429;
7 24 0.651515151515151;
7 47 0.907692307692308;
7 50 0.653846153846154;
7 57 0.868421052631579;
7 58 0.91358024691358;
7 59 0.791666666666667;
7 63 0.869565217391304;
7 65 -0.222222222222222;
7 67 0.9375;
7 68 0.814814814814815;
7 71 0.776315789473684;
7 73 0.714285714285714;
7 74 0.777777777777778;
7 76 1;
7 77 1;
7 79 -1;
8 9 0.823788546255507;
8 10 0.875;
8 11 0.874172185430464;
8 34 0.649038461538462;
8 39 0.650246305418719;
8 43 0.653658536585366;
8 47 0.818681318681319;
8 49 0.67910447761194;
8 53 0.642857142857143;
8 57 0.75531914893617;
8 58 0.84070796460177;
8 59 0.674698795180723;
8 67 0.771428571428571;
8 69 0.649746192893401;
8 71 0.772486772486772;
8 73 0.641618497109827;
8 74 0.641025641025641;
8 75 0.662337662337662;
8 76 0.789473684210526;
8 77 0.702702702702703;
8 80 0.930232558139535;
8 82 0.907692307692308;
8 84 0.915492957746479;
8 85 0.738317757009346;
8 86 1;
9 10 0.96875;
9 11 0.96264367816092;
9 47 0.973474801061008;
9 57 0.980582524271845;
9 58 0.953271028037383;
9 59 0.89247311827957;
9 63 0.986301369863014;
9 67 0.974789915966387;
9 68 0.82010582010582;
9 71 0.941176470588235;
9 80 0.985714285714286;
9 82 0.968944099378882;
9 84 0.977443609022556;
9 86 1;
10 11 0.994334277620397;
10 47 0.973118279569892;
10 57 0.979166666666667;
10 58 0.966903073286052;
10 59 0.895348837209302;
10 63 0.952380952380952;
10 67 0.975609756097561;
10 68 0.833333333333333;
10 71 0.973614775725594;
10 76 0.645484949832776;
10 77 0.649253731343284;
10 80 0.992805755395683;
10 82 0.981481481481482;
10 84 0.977358490566038;
10 85 0.658862876254181;
10 86 1;
11 47 0.964601769911504;
11 57 0.976190476190476;
11 58 0.965714285714286;
11 59 0.878378378378378;
11 63 0.941176470588235;
11 67 0.973913043478261;
11 68 0.896875;
11 71 0.976945244956772;
11 80 0.984848484848485;
11 82 0.970260223048327;
11 84 0.975903614457831;
12 13 0.942857142857143;
12 14 0.945454545454545;
12 15 0.926767676767677;
12 16 0.924170616113744;
12 17 0.97752808988764;
12 18 0.890173410404624;
12 19 0.962686567164179;
12 20 0.935828877005348;
12 21 0.879518072289157;
12 22 0.937799043062201;
12 23 0.939086294416244;
12 24 0.800561797752809;
12 60 0.947368421052632;
12 64 0.921259842519685;
12 78 0.84;
12 81 0.932692307692308;
12 83 0.926666666666667;
12 86 1;
13 14 0.987623762376238;
13 15 0.968369829683698;
13 16 0.968253968253968;
13 17 0.978494623655914;
13 18 0.934065934065934;
13 19 0.97867298578199;
13 20 0.9846547314578;
13 21 0.954285714285714;
13 22 0.972727272727273;
13 23 0.975609756097561;
13 24 0.776881720430108;
13 60 0.98989898989899;
13 64 0.964824120603015;
13 78 0.946153846153846;
13 81 0.969325153374233;
13 83 0.971153846153846;
13 85 -0.162251655629139;
13 86 1;
14 15 0.970588235294118;
14 16 0.967821782178218;
14 17 0.985074626865672;
14 18 0.928571428571429;
14 19 0.981912144702842;
14 20 0.985915492957746;
14 21 0.967532467532468;
14 22 0.977611940298508;
14 23 0.971794871794872;
14 24 0.790229885057471;
14 60 0.989041095890411;
14 64 0.967479674796748;
14 78 0.9375;
14 81 0.971698113207547;
14 83 0.967213114754098;
14 86 1;
15 16 0.958937198067633;
15 17 0.976190476190476;
15 18 0.92330383480826;
15 19 0.967088607594937;
15 20 0.958904109589041;
15 21 0.936708860759494;
15 22 0.95609756097561;
15 23 0.955613577023499;
15 24 0.786516853932584;
15 60 0.975675675675676;
15 64 0.956639566395664;
15 76 -0.162544169611307;
15 78 0.921052631578947;
15 81 0.967532467532468;
15 83 0.95959595959596;
15 85 -0.176056338028169;
15 86 1;
16 17 0.947916666666667;
16 18 0.922865013774105;
16 19 0.962085308056872;
16 20 0.964467005076142;
16 21 0.943181818181818;
16 22 0.954545454545455;
16 23 0.958435207823961;
16 24 0.764075067024129;
16 60 0.967418546365915;
16 64 0.967418546365915;
16 76 -0.163333333333333;
16 78 0.914728682170543;
16 81 0.966049382716049;
16 83 0.961165048543689;
16 85 -0.177257525083612;
16 86 1;
17 18 0.973333333333333;
17 19 0.978260869565217;
17 20 0.978494623655914;
17 21 0.982142857142857;
17 22 0.978260869565217;
17 23 0.985915492957746;
17 24 0.779220779220779;
17 60 0.989130434782609;
17 64 0.976190476190476;
17 77 0.666666666666667;
17 78 1;
17 79 -0.5;
18 19 0.930635838150289;
18 20 0.9375;
18 21 0.895104895104895;
18 22 0.922651933701657;
18 23 0.914454277286136;
18 24 0.731391585760518;
18 28 -0.307692307692308;
18 60 0.939209726443769;
18 64 0.920489296636086;
18 78 0.866071428571429;
18 81 0.919413919413919;
18 83 0.908745247148289;
19 20 0.975806451612903;
19 21 0.961538461538462;
19 22 0.978622327790974;
19 23 0.967005076142132;
19 24 0.797183098591549;
19 60 0.984168865435356;
19 64 0.96042216358839;
19 78 0.947368421052632;
19 81 0.970967741935484;
19 83 0.973154362416107;
19 85 -0.181818181818182;
19 86 1;
20 21 0.924812030075188;
20 22 0.969151670951157;
20 23 0.975;
20 24 0.747692307692308;
20 60 0.982708933717579;
20 64 0.967654986522911;
20 78 0.921348314606742;
20 81 0.964028776978417;
20 83 0.966165413533835;
20 86 1;
21 22 0.943181818181818;
21 23 0.974358974358974;
21 24 0.744360902255639;
21 60 0.985401459854015;
21 64 0.915584415584416;
21 75 -0.172413793103448;
21 78 0.93859649122807;
21 79 0.719298245614035;
21 81 0.939130434782609;
21 83 0.910714285714286;
21 85 -0.204301075268817;
21 86 1;
22 23 0.966019417475728;
22 24 0.77027027027027;
22 60 0.979949874686717;
22 64 0.949748743718593;
22 78 0.946153846153846;
22 81 0.957186544342508;
22 83 0.96474358974359;
22 85 -0.175496688741722;
22 86 1;
23 24 0.772594752186589;
23 28 1;
23 60 0.981132075471698;
23 64 0.950953678474114;
23 78 0.94488188976378;
23 81 0.95625;
23 83 0.951298701298701;
23 85 -0.179054054054054;
23 86 1;
24 50 0.715083798882682;
24 57 0.680412371134021;
24 60 0.779891304347826;
24 64 0.743362831858407;
24 78 0.710526315789474;
24 81 0.772893772893773;
24 83 0.784615384615385;
24 86 1;
25 61 0.815426997245179;
25 70 0.80952380952381;
26 27 0.982456140350877;
26 28 1;
26 29 0.929411764705882;
26 30 0.863636363636364;
26 31 0.963963963963964;
26 32 0.941176470588235;
26 33 0.928571428571429;
26 34 0.96551724137931;
26 35 0.935185185185185;
26 36 0.964285714285714;
26 37 0.982758620689655;
26 38 0.938461538461538;
26 39 0.962616822429907;
26 40 0.946428571428571;
26 41 0.924528301886792;
26 42 0.964601769911504;
26 43 0.908045977011494;
26 44 0.955752212389381;
26 45 0.942857142857143;
26 46 0.864197530864197;
26 49 0.974025974025974;
26 53 0.945454545454545;
26 54 0.956043956043956;
26 55 0.906976744186046;
26 56 0.894736842105263;
26 62 0.942307692307692;
26 65 -0.333333333333333;
26 66 0.90990990990991;
26 69 0.9;
26 72 0.956989247311828;
26 73 1;
26 74 1;
26 75 1;
26 76 1;
26 77 1;
26 79 -1;
27 28 1;
27 29 0.952380952380952;
27 30 0.904761904761905;
27 31 0.968325791855204;
27 32 0.985849056603774;
27 33 0.977116704805492;
27 34 0.976359338061466;
27 35 0.935334872979215;
27 36 0.990632318501171;
27 37 0.99097065462754;
27 38 0.968253968253968;
27 39 0.968599033816425;
27 40 0.972727272727273;
27 41 0.959287531806616;
27 42 0.986455981941309;
27 43 0.961630695443645;
27 44 0.986486486486487;
27 45 0.958810068649886;
27 46 0.886075949367089;
27 49 1;
27 53 0.967136150234742;
27 54 0.97624703087886;
27 55 0.976190476190476;
27 62 0.975;
27 66 0.970223325062035;
27 69 0.95609756097561;
27 72 0.995226730310263;
27 73 0.989501312335958;
27 74 1;
27 75 0.97752808988764;
27 76 0.993421052631579;
27 77 1;
27 78 -0.183206106870229;
27 81 -0.176829268292683;
27 83 -0.187898089171975;
27 85 1;
27 86 1;
28 29 1;
28 30 1;
28 31 1;
28 32 1;
28 33 0.894736842105263;
28 34 1;
28 35 1;
28 36 1;
28 37 1;
28 38 1;
28 39 1;
28 40 1;
28 41 1;
28 42 1;
28 43 0.9;
28 44 0.9;
28 45 1;
28 49 1;
28 53 1;
28 54 1;
28 55 0.8;
28 56 0.894736842105263;
28 58 0.666666666666667;
28 62 0.904761904761905;
28 66 1;
28 68 1;
28 69 0.904761904761905;
29 30 0.952380952380952;
29 31 0.975609756097561;
29 32 0.943661971830986;
29 33 0.927710843373494;
29 34 0.952941176470588;
29 35 0.873417721518987;
29 36 0.951807228915663;
29 37 0.952941176470588;
29 38 0.967741935483871;
29 39 0.948717948717949;
29 40 0.905882352941176;
29 41 0.947368421052632;
29 42 0.975903614457831;
29 43 0.827586206896552;
29 44 0.975903614457831;
29 45 0.973333333333333;
29 46 0.8875;
29 49 0.969230769230769;
29 53 0.952941176470588;
29 54 0.922077922077922;
29 55 0.918918918918919;
29 56 0.879518072289157;
29 62 0.95;
29 65 -0.3125;
29 66 0.903614457831325;
29 69 0.923076923076923;
29 72 0.907692307692308;
29 73 1;
29 74 1;
30 31 0.952380952380952;
30 32 0.903225806451613;
30 33 0.953488372093023;
30 34 0.909090909090909;
30 35 0.813953488372093;
30 36 0.909090909090909;
30 37 0.909090909090909;
30 38 0.952380952380952;
30 39 0.853658536585366;
30 40 0.909090909090909;
30 41 0.9;
30 42 0.952380952380952;
30 43 0.764705882352941;
30 44 0.951219512195122;
30 45 0.894736842105263;
30 46 0.952380952380952;
30 49 0.862068965517241;
30 53 0.954545454545455;
30 54 0.828571428571429;
30 55 0.935483870967742;
30 56 0.772727272727273;
30 62 0.951219512195122;
30 66 0.857142857142857;
30 69 0.931034482758621;
30 72 0.897435897435897;
31 32 0.961538461538462;
31 33 0.953596287703016;
31 34 0.951807228915663;
31 35 0.929411764705882;
31 36 0.957142857142857;
31 37 0.958620689655172;
31 38 1;
31 39 0.934306569343066;
31 40 0.962962962962963;
31 41 0.958762886597938;
31 42 0.97254004576659;
31 43 0.936585365853659;
31 44 0.967889908256881;
31 45 0.935034802784223;
31 46 0.91025641025641;
31 49 0.958456973293769;
31 53 0.942583732057416;
31 54 0.942028985507246;
31 55 0.951456310679612;
31 62 0.948979591836735;
31 66 0.964735516372796;
31 69 0.930348258706468;
31 72 0.961352657004831;
31 73 0.957446808510638;
31 74 0.962382445141066;
31 75 0.943019943019943;
31 76 0.953795379537954;
31 77 0.977695167286245;
31 81 -0.170278637770898;
31 83 -0.17741935483871;
31 85 0.959866220735786;
31 86 1;
32 33 0.975786924939467;
32 34 0.975;
32 35 0.917073170731707;
32 36 0.975308641975309;
