n = 104
taille = 1655
Mat = [0 1 0.917073170731707;
0 11 0.541899441340782;
0 19 0.546052631578947;
0 26 -0.169154228855721;
0 71 0.861111111111111;
0 72 0.924731182795699;
0 73 0.931578947368421;
0 83 0.880597014925373;
0 84 0.925531914893617;
0 85 0.885;
0 88 0.579545454545455;
0 100 0.96875;
1 71 0.650306748466258;
1 72 0.79950495049505;
1 73 0.800982800982801;
1 83 0.768261964735516;
1 84 0.723192019950125;
1 85 0.805288461538462;
1 100 0.969072164948454;
2 25 0.613333333333333;
2 34 0.575520833333333;
2 35 0.63036303630363;
2 36 0.626086956521739;
2 37 0.6375;
2 38 0.65967365967366;
2 39 0.553086419753086;
2 40 0.578534031413613;
2 41 0.652380952380952;
2 42 0.664302600472813;
2 43 0.848837209302326;
2 44 0.645390070921986;
2 45 0.54656862745098;
2 46 0.62877030162413;
2 47 0.825980392156863;
2 48 0.610169491525424;
2 49 0.855670103092783;
2 50 0.577639751552795;
2 51 0.639024390243902;
2 52 0.61340206185567;
2 53 0.643037974683544;
2 54 0.638755980861244;
2 55 0.638349514563107;
2 56 0.620098039215686;
2 57 0.646464646464647;
2 58 0.633633633633634;
2 59 0.618705035971223;
2 60 0.787081339712919;
2 61 0.655737704918033;
2 62 0.612021857923497;
2 63 0.641330166270784;
2 64 0.639344262295082;
2 65 0.657074340527578;
2 66 0.761083743842365;
2 67 0.609452736318408;
2 74 0.846867749419954;
2 75 0.633971291866029;
2 76 0.625;
2 77 0.8;
2 89 0.626237623762376;
2 96 0.696891191709845;
2 97 0.651658767772512;
2 99 0.543859649122807;
2 101 -0.255813953488372;
2 102 0.941176470588235;
2 103 0.925;
3 4 0.858310626702997;
3 5 0.914572864321608;
3 6 0.896373056994819;
3 7 0.861702127659574;
3 8 0.861256544502618;
3 9 0.906849315068493;
3 10 0.888020833333333;
3 11 0.92797783933518;
3 12 0.854961832061069;
3 13 0.903307888040712;
3 14 0.746428571428571;
3 15 0.803030303030303;
3 16 0.904371584699454;
3 17 0.88860103626943;
3 18 0.65;
3 19 0.662337662337662;
3 20 0.644628099173554;
3 21 0.671270718232044;
3 22 0.644155844155844;
3 23 0.664041994750656;
3 24 0.638020833333333;
3 78 0.851123595505618;
3 79 0.819628647214854;
3 80 0.632978723404255;
3 81 0.620879120879121;
3 82 0.631284916201117;
3 86 0.916883116883117;
3 87 0.601671309192201;
3 88 0.658862876254181;
3 90 0.848;
3 91 0.865284974093264;
3 92 0.622047244094488;
3 93 0.912698412698413;
3 94 0.904761904761905;
3 95 0.84;
3 98 0.619791666666667;
3 103 0.684210526315789;
4 5 0.850602409638554;
4 6 0.860696517412935;
4 7 0.864450127877238;
4 8 0.858208955223881;
4 9 0.856770833333333;
4 10 0.896984924623116;
4 11 0.794736842105263;
4 12 0.83495145631068;
4 13 0.844282238442822;
4 14 0.667774086378738;
4 15 0.802631578947368;
4 16 0.839473684210526;
4 17 0.853960396039604;
4 49 0.568421052631579;
4 78 0.817934782608696;
4 79 0.83502538071066;
4 86 0.876543209876543;
4 90 0.890862944162436;
4 91 0.856435643564356;
4 93 0.868020304568528;
4 94 0.884020618556701;
4 95 0.803738317757009;
4 103 0.567567567567568;
5 6 0.924137931034483;
5 7 0.836879432624113;
5 8 0.844907407407407;
5 9 0.927710843373494;
5 10 0.911421911421911;
5 11 0.84029484029484;
5 12 0.898419864559819;
5 13 0.936794582392777;
5 14 0.726114649681529;
5 15 0.864197530864197;
5 16 0.91747572815534;
5 17 0.889908256880734;
5 49 0.58252427184466;
5 78 0.852130325814536;
5 79 0.788732394366197;
5 86 0.924137931034483;
5 90 0.853080568720379;
5 91 0.863741339491917;
5 93 0.889411764705882;
5 94 0.925837320574163;
5 95 0.894273127753304;
5 103 0.658536585365854;
6 7 0.864077669902913;
6 8 0.855106888361045;
6 9 0.918114143920596;
6 10 0.904306220095694;
6 11 0.80506329113924;
6 12 0.902552204176334;
6 13 0.918793503480278;
6 14 0.737704918032787;
6 15 0.727272727272727;
6 16 0.902743142144638;
6 17 0.903301886792453;
6 78 0.828205128205128;
6 79 0.811594202898551;
6 86 0.92434988179669;
6 90 0.843520782396088;
6 91 0.857482185273159;
6 93 0.879518072289157;
