n = 54
taille = 617
Mat = [0 1 0.923076923076923;
0 2 0.919607843137255;
0 14 1;
0 39 0.897435897435897;
0 40 0.900970873786408;
0 41 0.871670702179177;
0 44 0.89917695473251;
1 2 0.963035019455253;
1 14 1;
1 39 0.943359375;
1 40 0.944123314065511;
1 41 0.895883777239709;
1 44 0.929435483870968;
2 14 1;
2 39 0.938888888888889;
2 40 0.943533697632058;
2 41 0.895238095238095;
2 44 0.928429423459245;
3 4 0.764568764568765;
3 5 0.749455337690632;
3 6 0.777272727272727;
3 14 -1;
3 23 0.757894736842105;
3 25 0.773584905660377;
3 26 0.762273901808786;
3 27 0.732142857142857;
3 28 0.712018140589569;
3 42 0.758104738154613;
3 43 0.780856423173804;
3 45 0.739130434782609;
3 48 0.805194805194805;
3 49 0.729885057471264;
4 5 0.824175824175824;
4 6 0.753731343283582;
4 23 0.854389721627409;
4 25 0.823027718550107;
4 26 0.850899742930591;
4 27 0.830316742081448;
4 28 0.779620853080569;
4 42 0.817955112219451;
4 43 0.863874345549738;
4 45 0.821428571428571;
4 48 0.755494505494505;
4 49 0.649068322981366;
5 6 0.725490196078431;
5 23 0.840864440078585;
5 25 0.823076923076923;
5 26 0.830769230769231;
5 27 0.84412955465587;
5 28 0.793926247288503;
5 42 0.821951219512195;
5 43 0.84703196347032;
5 45 0.837209302325581;
5 48 0.715025906735751;
5 49 0.666666666666667;
6 14 -1;
6 23 0.740740740740741;
6 25 0.73773987206823;
6 26 0.744505494505495;
6 27 0.730512249443207;
6 28 0.736596736596737;
6 42 0.738095238095238;
6 43 0.762273901808786;
6 45 0.724941724941725;
6 48 0.775675675675676;
6 49 0.75;
7 8 0.969162995594714;
7 9 0.96875;
7 10 0.956896551724138;
7 11 0.958236658932715;
7 12 0.967413441955194;
7 13 0.951428571428571;
7 14 1;
7 15 0.955555555555556;
7 16 0.962765957446808;
7 17 0.920668058455115;
7 18 0.979338842975207;
7 19 0.965596330275229;
7 20 0.937947494033413;
7 21 0.971496437054632;
7 22 0.84394250513347;
7 29 0.970464135021097;
7 30 0.939655172413793;
7 31 0.954;
7 32 0.96969696969697;
7 33 0.963386727688787;
7 34 0.9447983014862;
7 35 0.970338983050847;
7 36 0.96;
7 37 0.950236966824645;
7 38 0.979166666666667;
7 46 0.979591836734694;
7 47 0.974842767295597;
7 50 0.968680089485459;
7 51 0.968454258675079;
7 52 0.978021978021978;
7 53 1;
8 9 0.97907949790795;
8 10 0.964824120603015;
8 11 0.973094170403587;
8 12 0.977973568281938;
8 13 0.967567567567568;
8 15 0.951327433628319;
8 16 0.982758620689655;
8 17 0.951541850220264;
8 18 0.990990990990991;
8 19 0.990430622009569;
8 20 0.976958525345622;
8 21 0.983606557377049;
8 22 0.968468468468468;
8 29 0.986111111111111;
8 30 0.940092165898618;
8 31 0.978991596638655;
8 32 0.982683982683983;
8 33 0.987179487179487;
8 34 0.97196261682243;
8 35 0.985436893203884;
8 36 0.974226804123711;
8 37 0.953051643192488;
8 38 0.983957219251337;
8 46 0.995633187772926;
8 47 0.987068965517241;
8 50 0.995726495726496;
8 51 0.977973568281938;
8 52 1;
8 53 1;
9 10 0.976284584980237;
9 11 0.971014492753623;
9 12 0.98158379373849;
9 13 0.956743002544529;
9 14 1;
9 15 0.97459165154265;
9 16 0.953051643192488;
9 17 0.93609022556391;
9 18 0.988826815642458;
9 19 0.984375;
9 20 0.954954954954955;
9 21 0.978678038379531;
9 22 0.863551401869159;
9 29 0.984526112185687;
9 30 0.959432048681542;
9 31 0.973021582733813;
9 32 0.979779411764706;
9 33 0.983505154639175;
9 34 0.964214711729622;
9 35 0.988614800759013;
9 36 0.957142857142857;
9 37 0.964285714285714;
9 38 0.990697674418605;
