n = 37
taille = 298
Mat = [0 1 0.949367088607595;
0 2 0.936863543788187;
0 3 0.932481751824818;
0 4 0.942307692307692;
0 5 0.933333333333333;
0 6 0.945736434108527;
0 20 0.926829268292683;
0 25 0.953002610966057;
0 26 0.921113689095128;
0 27 0.867172675521822;
0 28 0.661016949152542;
0 32 0.803097345132743;
0 33 0.930313588850174;
1 2 0.966135458167331;
1 3 0.956989247311828;
1 4 0.956521739130435;
1 5 0.953271028037383;
1 6 0.951898734177215;
1 20 0.94973544973545;
1 25 0.964376590330789;
1 26 0.954545454545455;
1 27 0.881040892193309;
1 28 0.661016949152542;
1 32 0.817787418655098;
1 33 0.965986394557823;
2 3 0.94578313253012;
2 4 0.949685534591195;
2 5 0.944444444444444;
2 6 0.942857142857143;
2 20 0.937142857142857;
2 25 0.957264957264957;
2 26 0.944297082228117;
2 27 0.867647058823529;
2 28 0.661016949152542;
2 32 0.830508474576271;
2 33 0.962264150943396;
3 4 0.95047619047619;
3 5 0.953051643192488;
3 6 0.94147582697201;
3 20 0.944148936170213;
3 25 0.953846153846154;
3 26 0.935483870967742;
3 27 0.876635514018692;
3 28 0.666666666666667;
3 32 0.823144104803493;
3 33 0.958477508650519;
4 5 0.939698492462312;
4 6 0.943850267379679;
4 20 0.922413793103448;
4 25 0.948509485094851;
4 26 0.938423645320197;
4 27 0.886274509803922;
4 32 0.801354401805869;
4 33 0.958620689655172;
5 6 0.958762886597938;
5 20 0.94413407821229;
5 25 0.961038961038961;
5 26 0.946236559139785;
5 27 0.758454106280193;
5 29 0.700934579439252;
5 32 0.757575757575758;
6 20 0.93015873015873;
6 25 0.934579439252336;
6 26 0.946107784431138;
6 27 0.843989769820972;
6 32 0.785932721712538;
6 33 0.94578313253012;
7 8 0.967213114754098;
7 9 0.935714285714286;
7 10 0.831541218637993;
7 11 0.837735849056604;
7 12 0.854609929078014;
7 13 0.844765342960289;
7 14 0.840136054421769;
7 15 0.862857142857143;
7 16 0.839590443686007;
7 17 0.839041095890411;
7 18 0.843205574912892;
