n = 77
taille = 1241
Mat = [0 1 0.915525114155251;
0 2 -0.369928400954654;
0 3 -0.373737373737374;
0 4 -0.304721030042918;
0 5 -0.265206812652068;
0 13 0.930278884462151;
0 14 0.915094339622642;
0 15 0.934560327198364;
0 16 0.955684007707129;
0 17 0.912621359223301;
0 18 0.981481481481482;
0 31 -0.337874659400545;
0 33 -0.352331606217617;
0 34 -0.323308270676692;
0 35 -0.320987654320988;
0 36 0.924752475247525;
0 37 0.962962962962963;
0 38 0.926315789473684;
0 52 0.625;
0 54 -0.26457399103139;
0 55 -0.372137404580153;
0 56 -0.348519362186788;
0 57 -0.395348837209302;
0 60 0.88423645320197;
0 63 -0.348314606741573;
0 66 -0.282758620689655;
0 71 -0.37;
0 74 0.944625407166124;
0 75 0.935849056603774;
1 2 -0.408571428571429;
1 3 -0.442379182156134;
1 4 -0.36734693877551;
1 5 -0.329639889196676;
1 11 0.49740932642487;
1 13 0.907142857142857;
1 14 0.911894273127753;
1 15 0.905797101449275;
1 16 0.925339366515837;
1 17 0.911161731207289;
1 18 0.989010989010989;
1 31 -0.41566265060241;
1 33 -0.398936170212766;
1 34 -0.355119825708061;
1 35 -0.344660194174757;
1 36 0.92018779342723;
1 37 0.942196531791908;
1 38 0.87192118226601;
1 54 -0.276315789473684;
1 55 -0.417977528089888;
1 56 -0.398328690807799;
1 57 -0.366795366795367;
1 60 0.829201101928375;
1 63 -0.352272727272727;
1 66 -0.340277777777778;
1 71 -0.391156462585034;
1 74 0.90650406504065;
1 75 0.939516129032258;
2 3 0.831460674157303;
2 4 0.646913580246914;
2 5 0.523809523809524;
2 6 -0.360696517412935;
2 7 -0.366666666666667;
2 8 -0.330729166666667;
2 9 -0.325358851674641;
2 10 -0.338672768878719;
2 11 -0.388206388206388;
2 12 -0.254901960784314;
2 13 -0.392682926829268;
2 14 -0.387990762124711;
2 15 -0.356459330143541;
2 16 -0.370283018867925;
2 17 -0.376168224299065;
2 18 -0.569444444444444;
2 31 0.878378378378378;
2 34 0.525229357798165;
2 35 0.600973236009732;
2 36 -0.364532019704433;
2 37 -0.290322580645161;
2 38 -0.383033419023136;
2 46 -0.366028708133971;
2 47 -0.379487179487179;
2 48 -0.343283582089552;
2 49 -0.347087378640777;
2 50 -0.334963325183374;
2 51 -0.359605911330049;
2 52 -0.882352941176471;
2 54 0.747945205479452;
2 55 0.855477855477855;
2 56 0.826086956521739;
2 57 0.877394636015326;
2 60 -0.395280235988201;
2 61 -0.366583541147132;
2 62 0.550827423167849;
2 63 0.645833333333333;
2 65 0.588571428571429;
2 66 0.755395683453237;
2 67 -0.420849420849421;
2 68 -0.406896551724138;
2 71 0.85823754789272;
