n = 59
taille = 1370
Mat = [0 1 1;
0 2 0.952380952380952;
0 3 0.955555555555556;
0 4 0.914893617021277;
0 5 1;
0 6 0.951219512195122;
0 7 1;
0 8 1;
0 12 0.551020408163265;
0 14 0.565217391304348;
0 15 0.619047619047619;
0 16 0.6;
0 17 0.625;
0 19 0.631578947368421;
0 20 0.560975609756098;
0 21 0.6;
0 22 0.6;
0 24 0.724137931034483;
0 25 0.545454545454545;
0 27 0.636363636363636;
0 28 0.609756097560976;
0 29 0.959183673469388;
0 30 1;
0 35 0.793103448275862;
0 36 1;
0 37 1;
0 38 0.957446808510638;
0 39 0.953488372093023;
0 40 1;
0 41 0.791666666666667;
0 43 0.555555555555556;
0 44 1;
0 45 0.897959183673469;
0 46 1;
0 47 1;
0 48 0.674418604651163;
1 2 0.9453125;
1 3 0.866666666666667;
1 4 0.905913978494624;
1 5 0.966321243523316;
1 6 0.907407407407407;
1 7 0.970779220779221;
1 8 0.972906403940887;
1 10 0.5575;
1 12 0.695652173913043;
1 13 0.70026525198939;
1 14 0.690909090909091;
1 15 0.715762273901809;
1 16 0.724035608308605;
1 17 0.709424083769634;
1 18 0.632047477744807;
1 19 0.718934911242604;
1 20 0.704545454545455;
1 21 0.766666666666667;
1 22 0.684895833333333;
1 23 0.689102564102564;
1 24 0.696428571428571;
1 25 0.710601719197708;
1 26 0.709677419354839;
1 27 0.753541076487252;
1 28 0.700534759358289;
1 29 0.930939226519337;
1 30 0.972636815920398;
1 32 0.555147058823529;
1 33 0.697604790419162;
1 34 0.722222222222222;
1 35 0.724517906336088;
1 36 0.968292682926829;
1 37 0.969945355191257;
1 38 0.942257217847769;
1 39 0.907473309608541;
1 40 0.915167095115681;
1 41 0.945652173913043;
1 43 0.723118279569892;
1 44 0.91421568627451;
1 45 0.954887218045113;
1 46 0.960106382978723;
1 47 0.943548387096774;
1 48 0.729577464788732;
1 49 0.711048158640227;
1 50 0.965986394557823;
1 51 0.96551724137931;
1 52 0.735537190082645;
1 53 0.642424242424242;
1 54 0.953416149068323;
1 55 0.708074534161491;
1 56 0.68976897689769;
1 57 0.968944099378882;
2 3 0.914893617021277;
2 4 0.882198952879581;
2 5 0.941919191919192;
2 6 0.897243107769424;
2 7 0.935384615384615;
2 8 0.94484412470024;
2 12 0.6625;
2 13 0.666666666666667;
2 14 0.666666666666667;
2 15 0.68922305764411;
2 16 0.686781609195402;
2 17 0.687817258883249;
2 18 0.605714285714286;
2 19 0.687323943661972;
2 20 0.669879518072289;
2 21 0.741379310344828;
2 22 0.649874055415617;
2 23 0.635514018691589;
2 24 0.711864406779661;
2 25 0.676795580110497;
2 26 0.676543209876543;
2 27 0.706043956043956;
2 28 0.66412213740458;
2 29 0.900269541778976;
2 30 0.943765281173594;
2 33 0.638418079096045;
2 34 0.690860215053763;
2 35 0.691428571428571;
2 36 0.940334128878282;
2 37 0.938666666666667;
2 38 0.928388746803069;
2 39 0.907894736842105;
2 40 0.927318295739348;
2 41 0.925729442970822;
2 43 0.686528497409326;
2 44 0.897374701670644;
2 45 0.914841849148418;
2 46 0.940414507772021;
2 47 0.909326424870466;
2 48 0.701408450704225;
2 49 0.665768194070081;
2 50 0.967532467532468;
2 51 0.93800539083558;
2 52 0.735537190082645;
2 53 0.656050955414013;
2 54 0.925324675324675;
2 55 0.674267100977199;
2 56 0.659722222222222;
2 57 0.934640522875817;
3 4 0.826923076923077;
3 5 0.92156862745098;
3 6 0.914893617021277;
3 7 0.954545454545455;
3 8 0.925925925925926;
3 15 0.571428571428571;
3 19 0.590909090909091;
3 20 0.555555555555556;
3 24 0.542857142857143;
3 27 0.560975609756098;
3 29 0.886792452830189;
3 30 0.916666666666667;
3 35 0.647058823529412;
3 36 0.925925925925926;
3 37 0.924528301886792;
3 38 0.962962962962963;
3 39 0.916666666666667;
3 40 0.955555555555556;
3 41 0.818181818181818;
3 44 0.924528301886792;
3 45 0.849056603773585;
3 46 0.955555555555556;
3 47 1;
3 48 0.541666666666667;
3 50 0.777777777777778;
4 5 0.904522613065327;
4 6 0.870026525198939;
4 7 0.909385113268608;
4 8 0.903465346534653;
4 10 0.557251908396947;
4 12 0.672727272727273;
4 13 0.676549865229111;
4 14 0.630952380952381;
4 15 0.692913385826772;
4 16 0.703488372093023;
4 17 0.681697612732096;
4 18 0.641176470588235;
4 19 0.685131195335277;
4 20 0.680203045685279;
4 21 0.628378378378378;
4 22 0.664921465968586;
4 23 0.691131498470948;
4 24 0.765625;
4 25 0.675141242937853;
4 26 0.668367346938776;
4 27 0.695890410958904;
4 28 0.681940700808625;
4 29 0.860724233983287;
4 30 0.90176322418136;
4 33 0.614457831325301;
4 34 0.708108108108108;
4 35 0.705014749262537;
4 36 0.898514851485149;
4 37 0.910326086956522;
4 38 0.925729442970822;
4 39 0.866666666666667;
4 40 0.897097625329815;
4 41 0.887700534759358;
4 43 0.688172043010753;
4 44 0.864532019704433;
4 45 0.888607594936709;
4 46 0.900804289544236;
4 47 0.902964959568733;
4 48 0.726256983240223;
4 49 0.677966101694915;
4 50 0.873015873015873;
4 51 0.897142857142857;
4 52 0.61;
4 53 0.62876254180602;
4 54 0.907216494845361;
4 55 0.667808219178082;
4 56 0.661818181818182;
4 57 0.910596026490066;
5 6 0.925831202046036;
5 7 0.96583850931677;
5 8 0.969047619047619;
5 10 0.561274509803922;
5 12 0.665835411471322;
5 13 0.664082687338501;
5 14 0.6;
5 15 0.692695214105793;
5 16 0.69187675070028;
5 17 0.674300254452926;
5 18 0.612359550561798;
5 19 0.68271954674221;
5 20 0.665024630541872;
5 21 0.688311688311688;
5 22 0.648241206030151;
5 23 0.655786350148368;
5 24 0.650793650793651;
5 25 0.67032967032967;
5 26 0.678048780487805;
5 27 0.71957671957672;
5 28 0.672727272727273;
5 29 0.932795698924731;
5 30 0.968523002421308;
5 33 0.641833810888252;
5 34 0.708333333333333;
5 35 0.711048158640227;
5 36 0.964454976303318;
5 37 0.96551724137931;
5 38 0.959287531806616;
5 39 0.912751677852349;
5 40 0.921717171717172;
5 41 0.933333333333333;
5 43 0.682291666666667;
5 44 0.91725768321513;
5 45 0.944038929440389;
5 46 0.961439588688946;
5 47 0.935233160621762;
5 48 0.713513513513514;
5 49 0.669376693766938;
5 50 0.978102189781022;
5 51 0.959239130434783;
5 52 0.695238095238095;
5 53 0.615384615384615;
5 54 0.944078947368421;
5 55 0.691803278688525;
5 56 0.665505226480836;
5 57 0.955414012738854;
6 7 0.923076923076923;
6 8 0.914425427872861;
6 10 0.552763819095477;
6 12 0.638461538461538;
6 13 0.669270833333333;
6 14 0.616279069767442;
6 15 0.672634271099744;
6 16 0.670553935860058;
6 17 0.669270833333333;
6 18 0.613832853025937;
6 19 0.669491525423729;
6 20 0.652709359605911;
6 21 0.628048780487805;
6 22 0.652956298200514;
6 23 0.630434782608696;
6 24 0.644067796610169;
6 25 0.666666666666667;
6 26 0.661654135338346;
6 27 0.681440443213296;
6 28 0.655526992287918;
6 29 0.882513661202186;
6 30 0.918114143920596;
6 33 0.621776504297994;
6 34 0.669398907103825;
6 35 0.669565217391304;
6 36 0.910411622276029;
6 37 0.927807486631016;
6 38 0.922680412371134;
6 39 0.875816993464052;
6 40 0.870558375634518;
6 41 0.881081081081081;
6 43 0.662303664921466;
6 44 0.871046228710462;
6 45 0.908415841584158;
6 46 0.902887139107612;
6 47 0.897368421052632;
6 48 0.666666666666667;
6 49 0.676712328767123;
6 50 0.852112676056338;
6 51 0.903846153846154;
6 52 0.620689655172414;
6 53 0.619354838709677;
6 54 0.888888888888889;
6 55 0.683168316831683;
6 56 0.665505226480836;
6 57 0.900662251655629;
7 8 0.997032640949555;
7 10 0.685015290519878;
7 12 0.674626865671642;
7 13 0.689655172413793;
7 14 0.609375;
7 15 0.70625;
7 16 0.72202166064982;
7 17 0.694864048338369;
7 18 0.6;
7 19 0.706624605678233;
7 20 0.697604790419162;
7 21 0.721153846153846;
7 22 0.662686567164179;
7 23 0.685064935064935;
7 24 0.615384615384615;
7 25 0.701538461538462;
7 26 0.685975609756098;
7 27 0.739583333333333;
7 28 0.67601246105919;
7 29 0.928125;
7 30 0.996978851963746;
7 33 0.646643109540636;
7 34 0.709897610921502;
7 35 0.720430107526882;
7 36 0.997067448680352;
7 37 0.997041420118343;
7 38 0.96875;
7 39 0.959016393442623;
7 40 0.898773006134969;
7 41 0.944444444444444;
7 43 0.701923076923077;
