n = 59
taille = 794
Mat = [0 1 1;
0 2 0.982456140350877;
0 3 0.982142857142857;
0 4 0.976190476190476;
0 5 0.941176470588235;
0 6 0.943396226415094;
0 7 0.981132075471698;
0 8 0.982142857142857;
0 9 0.857142857142857;
0 16 1;
0 29 1;
0 30 0.977777777777778;
0 36 0.947368421052632;
0 37 1;
0 38 0.982456140350877;
0 39 0.946428571428571;
0 40 0.98;
0 41 0.947368421052632;
0 42 0.867924528301887;
0 44 0.977272727272727;
0 45 0.9375;
0 46 0.982142857142857;
0 47 0.982142857142857;
1 2 0.968879668049793;
1 3 1;
1 4 0.93287037037037;
1 5 0.962222222222222;
1 6 0.967105263157895;
1 7 0.973741794310722;
1 8 0.975903614457831;
1 9 0.735416666666667;
1 29 0.966057441253264;
1 30 0.973568281938326;
1 32 0.721413721413721;
1 36 0.958419958419958;
1 37 0.967177242888403;
1 38 0.966183574879227;
1 39 0.918918918918919;
1 40 0.970046082949309;
1 41 0.969483568075117;
1 44 0.942675159235669;
1 45 0.963675213675214;
1 46 0.957777777777778;
1 47 0.95475113122172;
1 50 0.955958549222798;
1 51 0.957547169811321;
1 54 0.927480916030534;
1 57 0.951965065502183;
1 58 0.719101123595506;
2 3 0.985915492957746;
2 4 0.918976545842217;
2 5 0.946830265848671;
2 6 0.952755905511811;
2 7 0.953815261044177;
2 8 0.957407407407407;
2 9 0.668582375478927;
2 29 0.958549222797927;
2 30 0.95427435387674;
2 32 0.714285714285714;
2 36 0.946050096339114;
2 37 0.961145194274029;
2 38 0.949339207048458;
2 39 0.898340248962656;
2 40 0.959051724137931;
2 41 0.939393939393939;
2 44 0.936883629191322;
2 45 0.937254901960784;
2 46 0.938524590163934;
2 47 0.939457202505219;
2 50 0.940104166666667;
2 51 0.947368421052632;
2 54 0.907630522088353;
2 57 0.935114503816794;
3 4 0.981481481481482;
3 5 0.953125;
3 6 0.953846153846154;
3 7 0.985074626865672;
3 8 0.985714285714286;
3 9 0.871428571428571;
3 16 1;
3 29 1;
3 30 0.982758620689655;
3 36 0.957142857142857;
3 37 1;
3 38 0.985915492957746;
3 39 0.957142857142857;
3 40 0.984375;
3 41 0.957746478873239;
3 42 0.893939393939394;
3 44 0.982456140350877;
3 45 0.951612903225806;
3 46 0.985714285714286;
3 47 0.985074626865672;
3 50 1;
4 5 0.927927927927928;
4 6 0.917410714285714;
4 7 0.923766816143498;
4 8 0.922290388548057;
4 9 0.693617021276596;
4 29 0.92375366568915;
4 30 0.925690021231423;
4 32 0.725366876310273;
4 36 0.9149377593361;
4 37 0.925925925925926;
4 38 0.936739659367397;
4 39 0.870535714285714;
4 40 0.940758293838863;
4 41 0.915294117647059;
4 44 0.90280777537797;
4 45 0.910284463894967;
4 46 0.907692307692308;
4 47 0.900462962962963;
4 50 0.92112676056338;
4 51 0.912529550827423;
4 54 0.909871244635193;
4 57 0.9;
4 58 0.693548387096774;
5 6 0.948717948717949;
5 7 0.954741379310345;
5 8 0.956435643564356;
5 9 0.694501018329939;
5 29 0.95702005730659;
5 30 0.947939262472885;
5 32 0.702258726899384;
5 36 0.950718685831622;
5 37 0.962637362637363;
5 38 0.947743467933492;
5 39 0.902654867256637;
5 40 0.956818181818182;
5 41 0.951388888888889;
5 44 0.947145877378435;
5 45 0.948875255623722;
5 46 0.938189845474614;
5 47 0.926339285714286;
5 50 0.945868945868946;
5 51 0.960280373831776;
5 54 0.934426229508197;
5 57 0.948936170212766;
5 58 0.669354838709677;
6 7 0.959745762711864;
6 8 0.964980544747082;
6 9 0.70281124497992;
6 29 0.969187675070028;
6 30 0.962264150943396;
6 32 0.742;
6 36 0.943089430894309;
6 37 0.963362068965517;
6 38 0.957943925233645;
6 39 0.93681917211329;
6 40 0.96127562642369;
6 41 0.942982456140351;
6 44 0.954451345755694;
6 45 0.944444444444444;
6 46 0.956803455723542;
6 47 0.934210526315789;
6 50 0.958448753462604;
6 51 0.956719817767654;
6 54 0.916334661354582;
6 57 0.949019607843137;
7 8 0.970760233918129;
7 9 0.703629032258065;
7 29 0.969613259668508;
7 30 0.967948717948718;
7 32 0.703406813627255;
7 36 0.947368421052632;
7 37 0.96234309623431;
7 38 0.960187353629977;
7 39 0.908695652173913;
7 40 0.963386727688787;
7 41 0.954128440366973;
7 44 0.935817805383023;
7 45 0.958592132505176;
7 46 0.951063829787234;
7 47 0.943355119825708;
7 50 0.962466487935657;
7 51 0.953917050691244;
7 54 0.927038626609442;
7 57 0.954918032786885;
7 58 0.676190476190476;
8 9 0.692592592592593;
8 29 0.967254408060453;
8 30 0.966666666666667;
8 32 0.718518518518519;
8 36 0.951310861423221;
8 37 0.966336633663366;
8 38 0.959660297239915;
8 39 0.915322580645161;
8 40 0.968287526427061;
8 41 0.958071278825996;
8 44 0.940839694656489;
8 45 0.954110898661568;
8 46 0.954365079365079;
8 47 0.945891783567134;
8 50 0.959183673469388;
8 51 0.957805907172996;
8 54 0.931818181818182;
8 57 0.952205882352941;
8 58 0.671875;
9 29 0.719895287958115;
9 30 0.701219512195122;
9 36 0.713178294573643;
9 37 0.708418891170431;
9 38 0.686534216335541;
9 39 0.67287784679089;
9 40 0.694505494505494;
9 41 0.682403433476395;
9 42 0.779816513761468;
9 44 0.671259842519685;
9 45 0.700587084148728;
9 46 0.689161554192229;
9 47 0.691022964509395;
9 50 0.693333333333333;
9 51 0.665938864628821;
9 54 0.804;
9 57 0.694656488549618;
9 58 0.85;
10 11 0.865921787709497;
10 12 0.778026905829596;
10 13 0.784584980237154;
10 14 0.82;
10 15 0.755011135857461;
10 16 0.736238532110092;
10 17 0.778947368421053;
10 18 0.78310502283105;
10 19 0.751101321585903;
10 20 0.744140625;
10 21 0.781176470588235;
10 22 0.769230769230769;
10 23 0.728337236533958;
10 24 0.802469135802469;
10 25 0.742690058479532;
10 26 0.738372093023256;
10 27 0.738336713995943;
10 28 0.696120689655172;
10 33 0.717439293598234;
10 34 0.75;
10 35 0.784415584415584;
10 43 0.759834368530021;
10 48 0.735112936344969;
10 49 0.775555555555556;
10 52 0.703071672354949;
10 53 0.773026315789474;
10 55 0.737037037037037;
10 56 0.697095435684647;
10 57 0.671698113207547;
11 12 0.774049217002237;
11 13 0.80943025540275;
11 14 0.798994974874372;
11 15 0.773835920177384;
11 16 0.770454545454546;
11 17 0.80625;
11 18 0.791383219954649;
11 19 0.764835164835165;
11 20 0.772815533980583;
11 21 0.811188811188811;
11 22 0.794117647058823;
11 23 0.768691588785047;
11 24 0.775;
11 25 0.770873786407767;
11 26 0.760154738878143;
11 27 0.773469387755102;
11 28 0.734607218683652;
11 33 0.745054945054945;
11 34 0.791919191919192;
11 35 0.780927835051546;
11 43 0.785123966942149;
11 48 0.773930753564155;
11 49 0.793333333333333;
11 52 0.734006734006734;
11 53 0.816129032258065;
11 55 0.753676470588235;
11 56 0.707818930041152;
12 13 1;
12 14 0.988826815642458;
12 15 0.991643454038997;
12 16 0.954285714285714;
12 17 0.98974358974359;
12 18 0.948453608247423;
12 19 0.978260869565217;
12 20 0.990675990675991;
12 21 0.994186046511628;
12 22 0.995271867612293;
12 23 0.982857142857143;
12 24 1;
12 25 0.981176470588235;
12 26 0.981220657276995;
12 27 0.980815347721823;
12 28 0.96875;
12 31 -0.222222222222222;
12 33 0.953296703296703;
12 34 0.980099502487562;
12 35 0.971098265895954;
12 43 0.967088607594937;
12 48 0.985330073349633;
12 49 0.978201634877384;
12 52 1;
12 53 0.924686192468619;
12 55 1;
12 56 0.981735159817352;
13 14 0.989637305699482;
13 15 0.993150684931507;
13 16 0.971223021582734;
13 17 0.987096774193548;
13 18 0.962529274004684;
13 19 0.976905311778291;
13 20 0.991803278688525;
13 21 0.990267639902676;
13 22 0.995943204868154;
13 23 0.98992443324937;
13 24 0.987096774193548;
13 25 0.98155737704918;
13 26 0.987654320987654;
13 27 0.987179487179487;
13 28 0.968609865470852;
13 31 -0.235119047619048;
13 33 0.970046082949309;
13 34 0.991666666666667;
13 35 0.967479674796748;
13 43 0.97198275862069;
13 48 0.982683982683983;
13 49 0.981693363844394;
13 52 0.992673992673993;
13 53 0.937062937062937;
13 55 1;
13 56 0.983122362869198;
