n = 77
taille = 704
Mat = [0 1 0.924119241192412;
0 13 0.853723404255319;
0 14 0.885856079404467;
0 15 0.926136363636364;
0 16 0.92;
0 17 0.895939086294416;
0 18 0.92156862745098;
0 36 0.880636604774536;
0 37 0.831578947368421;
0 38 0.941176470588235;
0 52 -0.4;
0 60 0.890449438202247;
0 75 0.964169381107492;
1 13 0.786301369863014;
1 14 0.829516539440204;
1 15 0.872463768115942;
1 16 0.883783783783784;
1 17 0.890625;
1 18 0.9;
1 36 0.869918699186992;
1 37 0.910112359550562;
1 38 0.922636103151863;
1 52 -0.421052631578947;
1 58 0.583333333333333;
1 60 0.876470588235294;
1 75 0.940789473684211;
2 3 0.661016949152542;
2 4 0.662379421221865;
2 31 0.696969696969697;
2 33 -0.426666666666667;
2 54 0.64327485380117;
2 55 0.696883852691218;
2 56 0.751655629139073;
2 57 0.692567567567568;
2 66 0.592592592592593;
2 71 0.85;
3 12 -0.256410256410256;
3 31 0.733333333333333;
3 36 -0.26865671641791;
3 46 -0.258823529411765;
3 48 -0.333333333333333;
3 55 0.55952380952381;
3 56 0.640625;
3 66 0.551724137931034;
3 67 -0.297872340425532;
3 71 0.630434782608696;
3 72 -0.274193548387097;
3 74 -0.306122448979592;
3 75 -0.3125;
4 54 0.579088471849866;
4 55 0.593582887700535;
4 56 0.64792899408284;
4 57 0.586626139817629;
4 71 0.551020408163265;
5 33 -0.333333333333333;
5 71 0.689655172413793;
6 7 0.866492146596859;
6 8 0.883905013192612;
6 9 0.906862745098039;
6 10 0.872289156626506;
6 46 0.886198547215496;
6 47 0.875;
6 48 0.886304909560723;
6 49 0.862650602409639;
6 50 0.819951338199513;
6 51 0.895;
6 61 0.906862745098039;
6 67 0.857142857142857;
6 71 -0.264705882352941;
7 8 0.895604395604396;
7 9 0.907960199004975;
7 10 0.876847290640394;
7 37 0.6;
7 46 0.906172839506173;
7 47 0.887728459530026;
7 48 0.882198952879581;
7 49 0.910669975186104;
7 50 0.831683168316832;
7 51 0.904145077720207;
7 52 -0.368421052631579;
7 61 0.92191435768262;
7 67 0.898876404494382;
8 9 0.930412371134021;
8 10 0.88265306122449;
8 46 0.921119592875318;
8 47 0.920844327176781;
8 48 0.91304347826087;
8 49 0.879795396419437;
8 50 0.816793893129771;
8 51 0.884514435695538;
8 52 -0.277777777777778;
8 61 0.938303341902314;
8 67 0.879120879120879;
9 10 0.930394431554524;
9 46 0.958041958041958;
9 47 0.960493827160494;
9 48 0.911547911547912;
9 49 0.897196261682243;
9 50 0.848484848484849;
9 51 0.916256157635468;
9 52 -0.3;
